name,type,spoke_site,spoke_device,hub_site,hub_device,primary_wan,backup_wan,encryption,status,failover,description,comments
FR-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,FR-Agency1,FR-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from FR-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
FR-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,FR-Agency2,FR-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from FR-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
DE-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,DE-Agency1,DE-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from DE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
DE-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,DE-Agency2,DE-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from DE-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
GB-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,GB-Agency1,GB-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from GB-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
GB-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,GB-Agency2,GB-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from GB-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
NL-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,NL-Agency1,NL-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from NL-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
NL-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,NL-Agency2,NL-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from NL-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
BE-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,BE-Agency1,BE-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from BE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
BE-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,BE-Agency2,BE-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from BE-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
