name,status,encapsulation,description,comments,tags
FR-Agency1-VPN-TO-EMEA-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from FR-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,emea,fr-agency1"
DE-Agency1-VPN-TO-EMEA-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from DE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,emea,de-agency1"
GB-Agency1-VPN-TO-EMEA-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from GB-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,emea,gb-agency1"
NL-Agency1-VPN-TO-EMEA-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from NL-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,emea,nl-agency1"
BE-Agency1-VPN-TO-EMEA-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from BE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,emea,be-agency1"
CN-Agency1-VPN-TO-APAC-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from CN-Agency1 to APAC-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,apac,cn-agency1"
JP-Agency1-VPN-TO-APAC-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from JP-Agency1 to APAC-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,apac,jp-agency1"
KR-Agency1-VPN-TO-APAC-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from KR-Agency1 to APAC-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,apac,kr-agency1"
SG-Agency1-VPN-TO-APAC-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from SG-Agency1 to APAC-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,apac,sg-agency1"
AU-Agency1-VPN-TO-APAC-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from AU-Agency1 to APAC-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,apac,au-agency1"
US-Agency1-VPN-TO-AMER-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from US-Agency1 to AMER-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,amer,us-agency1"
CA-Agency1-VPN-TO-AMER-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from CA-Agency1 to AMER-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,amer,ca-agency1"
MX-Agency1-VPN-TO-AMER-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from MX-Agency1 to AMER-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,amer,mx-agency1"
BR-Agency1-VPN-TO-AMER-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from BR-Agency1 to AMER-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,amer,br-agency1"
AR-Agency1-VPN-TO-AMER-DC-ONPREM,active,ipsec-tunnel,Meraki SD-WAN tunnel from AR-Agency1 to AMER-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.,"meraki,autovpn,amer,ar-agency1"
