label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,color,description
EMEA-DC-ONPREM-CABLE-00507,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/1,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-1,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00508,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/2,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-2,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00509,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/3,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-3,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00510,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/4,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-4,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00511,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/5,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-5,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00512,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/6,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-6,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00513,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/7,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-7,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00514,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/8,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-8,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00515,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/9,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-9,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00516,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/10,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-10,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00517,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/11,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-11,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00518,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/12,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-12,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00519,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/13,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-13,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00520,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/14,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-14,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00521,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/15,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-15,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00522,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/16,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-16,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00523,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/17,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-17,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00524,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/18,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-18,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00525,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/19,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-19,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00526,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/20,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-20,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00527,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/21,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-21,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00528,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/22,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-22,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00529,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/23,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-23,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
