prefix,vrf,site,status,role,description
10.100.0.0/16,EMEA-AZURE-PROD-VNET,EMEA-DC-CLOUD,active,,Azure Production VNet - EMEA
10.100.1.0/24,EMEA-AZURE-PROD-VNET,EMEA-DC-CLOUD,active,,Public subnet - AZ 1
10.100.2.0/24,EMEA-AZURE-PROD-VNET,EMEA-DC-CLOUD,active,,Public subnet - AZ 2
10.100.10.0/24,EMEA-AZURE-PROD-VNET,EMEA-DC-CLOUD,active,,Private subnet - AZ 1
10.100.11.0/24,EMEA-AZURE-PROD-VNET,EMEA-DC-CLOUD,active,,Private subnet - AZ 2
10.101.0.0/16,EMEA-AZURE-MGMT-VNET,EMEA-DC-CLOUD,active,,Azure Management VNet - EMEA
10.101.1.0/24,EMEA-AZURE-MGMT-VNET,EMEA-DC-CLOUD,active,,Management subnet
10.101.254.0/24,EMEA-AZURE-MGMT-VNET,EMEA-DC-CLOUD,active,,GatewaySubnet (ExpressRoute)
10.200.0.0/16,APAC-GCP-PROD-VPC,APAC-DC-CLOUD,active,,GCP Production VPC - APAC
10.200.1.0/24,APAC-GCP-PROD-VPC,APAC-DC-CLOUD,active,,Subnet - asia-southeast1-a
10.200.2.0/24,APAC-GCP-PROD-VPC,APAC-DC-CLOUD,active,,Subnet - asia-southeast1-b
10.200.10.0/24,APAC-GCP-PROD-VPC,APAC-DC-CLOUD,active,,Private subnet - asia-southeast1-a
10.201.0.0/16,APAC-GCP-MGMT-VPC,APAC-DC-CLOUD,active,,GCP Management VPC - APAC
10.201.1.0/24,APAC-GCP-MGMT-VPC,APAC-DC-CLOUD,active,,Management subnet
10.300.0.0/16,AMER-AWS-PROD-VPC,AMER-DC-CLOUD,active,,AWS Production VPC - AMER
10.300.1.0/24,AMER-AWS-PROD-VPC,AMER-DC-CLOUD,active,,Public subnet - us-east-1a
10.300.2.0/24,AMER-AWS-PROD-VPC,AMER-DC-CLOUD,active,,Public subnet - us-east-1b
10.300.10.0/24,AMER-AWS-PROD-VPC,AMER-DC-CLOUD,active,,Private subnet - us-east-1a
10.300.11.0/24,AMER-AWS-PROD-VPC,AMER-DC-CLOUD,active,,Private subnet - us-east-1b
10.301.0.0/16,AMER-AWS-MGMT-VPC,AMER-DC-CLOUD,active,,AWS Management VPC - AMER
10.301.1.0/24,AMER-AWS-MGMT-VPC,AMER-DC-CLOUD,active,,Management subnet
