circuit,term_side,termination_type,termination_id,port_speed,upstream_speed,description
EMEA-DC-ONPREM-DIA-PRI,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-DIA-SEC,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-MPLS-01,A,dcim.site,388,5000000,5000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-MPLS-02,A,dcim.site,388,5000000,5000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-DF-INTERDC,A,dcim.site,388,100000000,100000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-AWS-DX,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-AZURE-ER,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
APAC-DC-ONPREM-DIA-PRI,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-DIA-SEC,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-MPLS-01,A,dcim.site,390,5000000,5000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-MPLS-02,A,dcim.site,390,5000000,5000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-DF-INTERDC,A,dcim.site,390,100000000,100000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-AWS-DX,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-AZURE-ER,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
AMER-DC-ONPREM-DIA-PRI,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-DIA-SEC,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-MPLS-01,A,dcim.site,392,5000000,5000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-MPLS-02,A,dcim.site,392,5000000,5000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-DF-INTERDC,A,dcim.site,392,100000000,100000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-AWS-DX,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-AZURE-ER,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
EMEA-DC-ONPREM-DIA-PRI,Z,circuits.providernetwork,1,10000000,10000000,Z-side termination at GTT Communications
EMEA-DC-ONPREM-DIA-SEC,Z,circuits.providernetwork,2,10000000,10000000,Z-side termination at Zayo Group
EMEA-DC-ONPREM-MPLS-01,Z,circuits.providernetwork,1,5000000,5000000,Z-side termination at GTT Communications
EMEA-DC-ONPREM-MPLS-02,Z,circuits.providernetwork,2,5000000,5000000,Z-side termination at Zayo Group
EMEA-DC-ONPREM-DF-INTERDC,Z,circuits.providernetwork,3,100000000,100000000,Z-side termination at Telia Carrier
EMEA-DC-ONPREM-AWS-DX,Z,circuits.providernetwork,3,10000000,10000000,Z-side termination at Telia Carrier
EMEA-DC-ONPREM-AZURE-ER,Z,circuits.providernetwork,3,10000000,10000000,Z-side termination at Telia Carrier
APAC-DC-ONPREM-DIA-PRI,Z,circuits.providernetwork,4,10000000,10000000,Z-side termination at Telstra Global
APAC-DC-ONPREM-DIA-SEC,Z,circuits.providernetwork,5,10000000,10000000,Z-side termination at Singtel
APAC-DC-ONPREM-MPLS-01,Z,circuits.providernetwork,4,5000000,5000000,Z-side termination at Telstra Global
APAC-DC-ONPREM-MPLS-02,Z,circuits.providernetwork,5,5000000,5000000,Z-side termination at Singtel
APAC-DC-ONPREM-DF-INTERDC,Z,circuits.providernetwork,6,100000000,100000000,Z-side termination at China Telecom Global
APAC-DC-ONPREM-AWS-DX,Z,circuits.providernetwork,6,10000000,10000000,Z-side termination at China Telecom Global
APAC-DC-ONPREM-AZURE-ER,Z,circuits.providernetwork,6,10000000,10000000,Z-side termination at China Telecom Global
AMER-DC-ONPREM-DIA-PRI,Z,circuits.providernetwork,2,10000000,10000000,Z-side termination at Zayo Group
AMER-DC-ONPREM-DIA-SEC,Z,circuits.providernetwork,1,10000000,10000000,Z-side termination at GTT Communications
AMER-DC-ONPREM-MPLS-01,Z,circuits.providernetwork,2,5000000,5000000,Z-side termination at Zayo Group
AMER-DC-ONPREM-MPLS-02,Z,circuits.providernetwork,1,5000000,5000000,Z-side termination at GTT Communications
AMER-DC-ONPREM-DF-INTERDC,Z,circuits.providernetwork,7,100000000,100000000,Z-side termination at Crown Castle Fiber
AMER-DC-ONPREM-AWS-DX,Z,circuits.providernetwork,7,10000000,10000000,Z-side termination at Crown Castle Fiber
AMER-DC-ONPREM-AZURE-ER,Z,circuits.providernetwork,7,10000000,10000000,Z-side termination at Crown Castle Fiber
