name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-ONPREM-CORE-SW01,Cisco Systems,Nexus 9508,Core Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R01,1,front,active,Core Switch - Nexus 9508
EMEA-DC-ONPREM-CORE-SW02,Cisco Systems,Nexus 9508,Core Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R02,14,front,active,Core Switch - Nexus 9508
EMEA-DC-ONPREM-DIST-SW01,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R03,27,front,active,Distribution Switch - Nexus 93180YC-FX
EMEA-DC-ONPREM-DIST-SW02,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R04,28,front,active,Distribution Switch - Nexus 93180YC-FX
EMEA-DC-ONPREM-FW-EXT-01,Palo Alto Networks,PA-5450,Firewall,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R01,30,front,active,Firewall - PA-5450
EMEA-DC-ONPREM-FW-EXT-02,Palo Alto Networks,PA-5450,Firewall,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R02,34,front,active,Firewall - PA-5450
EMEA-DC-ONPREM-FW-INT-01,Palo Alto Networks,PA-3260,Firewall,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R03,38,front,active,Firewall - PA-3260
EMEA-DC-ONPREM-FW-INT-02,Palo Alto Networks,PA-3260,Firewall,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R04,40,front,active,Firewall - PA-3260
EMEA-DC-ONPREM-RTR-EDGE-01,Cisco Systems,ASR 9001,Router,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R01,41,front,active,Router - ASR 9001
EMEA-DC-ONPREM-RTR-EDGE-02,Cisco Systems,ASR 9001,Router,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R02,41,front,active,Router - ASR 9001
EMEA-DC-ONPREM-LB-01,F5 Networks,BIG-IP i10800,Load Balancer,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R03,41,front,active,Load Balancer - BIG-IP i10800
EMEA-DC-ONPREM-SPINE-A01,Arista Networks,DCS-7280SR-48C6,Spine Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
