device,name,type,enabled,mgmt_only,description
EMEA-DC-ONPREM-CORE-SW01,mgmt0,1000base-t,True,True,Management interface
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/1,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/1
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/2,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/2
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/3,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/3
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/4,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/4
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/5,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/5
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/6,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/6
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/7,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/7
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/8,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/8
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/9,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/9
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/10,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/10
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/11,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/11
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/12,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/12
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/13,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/13
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/14,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/14
