cid,provider,type,status,site,commit_rate,description,tags
CN-Agency1-PRI-001,NTT Communications,Internet Primary,active,CN-Agency1,1000000,Primary Internet circuit for CN-Agency1,circuit-primary
CN-Agency1-BKP-001,PCCW Global,Internet Backup,active,CN-Agency1,500000,Backup Internet circuit for CN-Agency1,circuit-backup
CN-Agency2-PRI-001,NTT Communications,Internet Primary,active,CN-Agency2,1000000,Primary Internet circuit for CN-Agency2,circuit-primary
CN-Agency2-BKP-001,PCCW Global,Internet Backup,active,CN-Agency2,500000,Backup Internet circuit for CN-Agency2,circuit-backup
JP-Agency1-PRI-001,NTT Communications,Internet Primary,active,JP-Agency1,1000000,Primary Internet circuit for JP-Agency1,circuit-primary
JP-Agency1-BKP-001,PCCW Global,Internet Backup,active,JP-Agency1,500000,Backup Internet circuit for JP-Agency1,circuit-backup
JP-Agency2-PRI-001,NTT Communications,Internet Primary,active,JP-Agency2,1000000,Primary Internet circuit for JP-Agency2,circuit-primary
JP-Agency2-BKP-001,PCCW Global,Internet Backup,active,JP-Agency2,500000,Backup Internet circuit for JP-Agency2,circuit-backup
KR-Agency1-PRI-001,NTT Communications,Internet Primary,active,KR-Agency1,1000000,Primary Internet circuit for KR-Agency1,circuit-primary
KR-Agency1-BKP-001,PCCW Global,Internet Backup,active,KR-Agency1,500000,Backup Internet circuit for KR-Agency1,circuit-backup
KR-Agency2-PRI-001,NTT Communications,Internet Primary,active,KR-Agency2,1000000,Primary Internet circuit for KR-Agency2,circuit-primary
KR-Agency2-BKP-001,PCCW Global,Internet Backup,active,KR-Agency2,500000,Backup Internet circuit for KR-Agency2,circuit-backup
TW-Agency1-PRI-001,NTT Communications,Internet Primary,active,TW-Agency1,1000000,Primary Internet circuit for TW-Agency1,circuit-primary
TW-Agency1-BKP-001,PCCW Global,Internet Backup,active,TW-Agency1,500000,Backup Internet circuit for TW-Agency1,circuit-backup
TW-Agency2-PRI-001,NTT Communications,Internet Primary,active,TW-Agency2,1000000,Primary Internet circuit for TW-Agency2,circuit-primary
TW-Agency2-BKP-001,PCCW Global,Internet Backup,active,TW-Agency2,500000,Backup Internet circuit for TW-Agency2,circuit-backup
HK-Agency1-PRI-001,NTT Communications,Internet Primary,active,HK-Agency1,1000000,Primary Internet circuit for HK-Agency1,circuit-primary
HK-Agency1-BKP-001,PCCW Global,Internet Backup,active,HK-Agency1,500000,Backup Internet circuit for HK-Agency1,circuit-backup
HK-Agency2-PRI-001,NTT Communications,Internet Primary,active,HK-Agency2,1000000,Primary Internet circuit for HK-Agency2,circuit-primary
HK-Agency2-BKP-001,PCCW Global,Internet Backup,active,HK-Agency2,500000,Backup Internet circuit for HK-Agency2,circuit-backup
MO-Agency1-PRI-001,NTT Communications,Internet Primary,active,MO-Agency1,1000000,Primary Internet circuit for MO-Agency1,circuit-primary
MO-Agency1-BKP-001,PCCW Global,Internet Backup,active,MO-Agency1,500000,Backup Internet circuit for MO-Agency1,circuit-backup
MO-Agency2-PRI-001,NTT Communications,Internet Primary,active,MO-Agency2,1000000,Primary Internet circuit for MO-Agency2,circuit-primary
