circuit,term_side,termination_type,termination_id,port_speed,upstream_speed,description
CN-Agency1-PRI-001,A,dcim.site,207,1000000,1000000,Primary circuit termination at CN-Agency1
CN-Agency1-BKP-001,A,dcim.site,207,500000,500000,Backup circuit termination at CN-Agency1
CN-Agency2-PRI-001,A,dcim.site,208,1000000,1000000,Primary circuit termination at CN-Agency2
CN-Agency2-BKP-001,A,dcim.site,208,500000,500000,Backup circuit termination at CN-Agency2
JP-Agency1-PRI-001,A,dcim.site,209,1000000,1000000,Primary circuit termination at JP-Agency1
JP-Agency1-BKP-001,A,dcim.site,209,500000,500000,Backup circuit termination at JP-Agency1
JP-Agency2-PRI-001,A,dcim.site,210,1000000,1000000,Primary circuit termination at JP-Agency2
JP-Agency2-BKP-001,A,dcim.site,210,500000,500000,Backup circuit termination at JP-Agency2
KR-Agency1-PRI-001,A,dcim.site,211,1000000,1000000,Primary circuit termination at KR-Agency1
KR-Agency1-BKP-001,A,dcim.site,211,500000,500000,Backup circuit termination at KR-Agency1
KR-Agency2-PRI-001,A,dcim.site,212,1000000,1000000,Primary circuit termination at KR-Agency2
KR-Agency2-BKP-001,A,dcim.site,212,500000,500000,Backup circuit termination at KR-Agency2
TW-Agency1-PRI-001,A,dcim.site,213,1000000,1000000,Primary circuit termination at TW-Agency1
TW-Agency1-BKP-001,A,dcim.site,213,500000,500000,Backup circuit termination at TW-Agency1
TW-Agency2-PRI-001,A,dcim.site,214,1000000,1000000,Primary circuit termination at TW-Agency2
TW-Agency2-BKP-001,A,dcim.site,214,500000,500000,Backup circuit termination at TW-Agency2
HK-Agency1-PRI-001,A,dcim.site,215,1000000,1000000,Primary circuit termination at HK-Agency1
HK-Agency1-BKP-001,A,dcim.site,215,500000,500000,Backup circuit termination at HK-Agency1
HK-Agency2-PRI-001,A,dcim.site,216,1000000,1000000,Primary circuit termination at HK-Agency2
HK-Agency2-BKP-001,A,dcim.site,216,500000,500000,Backup circuit termination at HK-Agency2
MO-Agency1-PRI-001,A,dcim.site,217,1000000,1000000,Primary circuit termination at MO-Agency1
MO-Agency1-BKP-001,A,dcim.site,217,500000,500000,Backup circuit termination at MO-Agency1
MO-Agency2-PRI-001,A,dcim.site,218,1000000,1000000,Primary circuit termination at MO-Agency2
MO-Agency2-BKP-001,A,dcim.site,218,500000,500000,Backup circuit termination at MO-Agency2
MN-Agency1-PRI-001,A,dcim.site,219,1000000,1000000,Primary circuit termination at MN-Agency1
MN-Agency1-BKP-001,A,dcim.site,219,500000,500000,Backup circuit termination at MN-Agency1
MN-Agency2-PRI-001,A,dcim.site,220,1000000,1000000,Primary circuit termination at MN-Agency2
MN-Agency2-BKP-001,A,dcim.site,220,500000,500000,Backup circuit termination at MN-Agency2
SG-Agency1-PRI-001,A,dcim.site,221,1000000,1000000,Primary circuit termination at SG-Agency1
SG-Agency1-BKP-001,A,dcim.site,221,500000,500000,Backup circuit termination at SG-Agency1
SG-Agency2-PRI-001,A,dcim.site,222,1000000,1000000,Primary circuit termination at SG-Agency2
