label,type,status,a_termination_type,a_termination,b_termination_type,b_termination,length,length_unit,description
EMEA-DC-CLOUD-CABLE-0001-CORE-VPC,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet2/1,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet2/1,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-CORE-SW02
EMEA-DC-CLOUD-CABLE-0002-CORE-VPC,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet2/2,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet2/2,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-CORE-SW02
EMEA-DC-CLOUD-CABLE-0003-C01-D01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/1,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/1,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0004-C01-D01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/2,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/2,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0005-C01-D02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/3,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/1,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0006-C01-D02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/4,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/2,,,Connection EMEA-DC-CLOUD-CORE-SW01 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0007-C02-D01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/1,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/3,,,Connection EMEA-DC-CLOUD-CORE-SW02 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0008-C02-D01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/2,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/4,,,Connection EMEA-DC-CLOUD-CORE-SW02 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0009-C02-D02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/3,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/3,,,Connection EMEA-DC-CLOUD-CORE-SW02 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0010-C02-D02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/4,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/4,,,Connection EMEA-DC-CLOUD-CORE-SW02 to EMEA-DC-CLOUD-DIST-SW02
