circuit,term_side,termination_type,termination_id,port_speed,upstream_speed,description
EMEA-DC-CLOUD-DIA-PRI,A,dcim.site,387,10000000,10000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-DIA-SEC,A,dcim.site,387,10000000,10000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-MPLS-01,A,dcim.site,387,5000000,5000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-MPLS-02,A,dcim.site,387,5000000,5000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-DF-INTERDC,A,dcim.site,387,100000000,100000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-AWS-DX,A,dcim.site,387,10000000,10000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-CLOUD-AZURE-ER,A,dcim.site,387,10000000,10000000,A-side termination at EMEA-DC-CLOUD
EMEA-DC-ONPREM-DIA-PRI,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-DIA-SEC,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-MPLS-01,A,dcim.site,388,5000000,5000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-MPLS-02,A,dcim.site,388,5000000,5000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-DF-INTERDC,A,dcim.site,388,100000000,100000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-AWS-DX,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
EMEA-DC-ONPREM-AZURE-ER,A,dcim.site,388,10000000,10000000,A-side termination at EMEA-DC-ONPREM
APAC-DC-CLOUD-DIA-PRI,A,dcim.site,389,10000000,10000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-DIA-SEC,A,dcim.site,389,10000000,10000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-MPLS-01,A,dcim.site,389,5000000,5000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-MPLS-02,A,dcim.site,389,5000000,5000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-DF-INTERDC,A,dcim.site,389,100000000,100000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-AWS-DX,A,dcim.site,389,10000000,10000000,A-side termination at APAC-DC-CLOUD
APAC-DC-CLOUD-AZURE-ER,A,dcim.site,389,10000000,10000000,A-side termination at APAC-DC-CLOUD
APAC-DC-ONPREM-DIA-PRI,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-DIA-SEC,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-MPLS-01,A,dcim.site,390,5000000,5000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-MPLS-02,A,dcim.site,390,5000000,5000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-DF-INTERDC,A,dcim.site,390,100000000,100000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-AWS-DX,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
APAC-DC-ONPREM-AZURE-ER,A,dcim.site,390,10000000,10000000,A-side termination at APAC-DC-ONPREM
AMER-DC-CLOUD-DIA-PRI,A,dcim.site,391,10000000,10000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-DIA-SEC,A,dcim.site,391,10000000,10000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-MPLS-01,A,dcim.site,391,5000000,5000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-MPLS-02,A,dcim.site,391,5000000,5000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-DF-INTERDC,A,dcim.site,391,100000000,100000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-AWS-DX,A,dcim.site,391,10000000,10000000,A-side termination at AMER-DC-CLOUD
AMER-DC-CLOUD-AZURE-ER,A,dcim.site,391,10000000,10000000,A-side termination at AMER-DC-CLOUD
AMER-DC-ONPREM-DIA-PRI,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-DIA-SEC,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-MPLS-01,A,dcim.site,392,5000000,5000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-MPLS-02,A,dcim.site,392,5000000,5000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-DF-INTERDC,A,dcim.site,392,100000000,100000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-AWS-DX,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
AMER-DC-ONPREM-AZURE-ER,A,dcim.site,392,10000000,10000000,A-side termination at AMER-DC-ONPREM
