device,name,type,speed,enabled,description
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/1,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/2,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/3,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/4,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/5,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/6,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/7,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/8,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/9,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/10,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/11,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/12,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/13,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/14,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/15,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/16,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/17,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/18,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/19,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/20,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/21,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/22,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/23,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/24,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/25,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/26,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/27,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/28,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/29,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/30,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/31,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/32,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/33,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/34,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/35,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/36,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/37,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/38,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/39,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/40,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/41,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/42,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/43,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/44,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/45,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/46,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/47,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet1/48,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/1,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/2,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/3,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/4,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/5,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW01,Ethernet2/6,40gbase-x-qsfpp,40000000,true,40GBASE-X-QSFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/1,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/2,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/3,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/4,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/5,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/6,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/7,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/8,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/9,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/10,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/11,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/12,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/13,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/14,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/15,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/16,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/17,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/18,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/19,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/20,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/21,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/22,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/23,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/24,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/25,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/26,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/27,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/28,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/29,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/30,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/31,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/32,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/33,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/34,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/35,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/36,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/37,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/38,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/39,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/40,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/41,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/42,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/43,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/44,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/45,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/46,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
EMEA-DC-CLOUD-CORE-SW02,Ethernet1/47,10gbase-x-sfpp,10000000,true,10GBASE-X-SFPP Interface
