name,slug,site,status,description
EMEA-DC-CLOUD-Network Core,emea-dc-cloud-network-core,emea-dc-cloud,active,Core network equipment room
EMEA-DC-CLOUD-Server Hall A,emea-dc-cloud-server-hall-a,emea-dc-cloud,active,Primary server hall
EMEA-DC-CLOUD-Server Hall B,emea-dc-cloud-server-hall-b,emea-dc-cloud,active,Secondary server hall
EMEA-DC-CLOUD-Storage Room,emea-dc-cloud-storage-room,emea-dc-cloud,active,Storage systems room
EMEA-DC-CLOUD-Meet-Me Room,emea-dc-cloud-meet-me-room,emea-dc-cloud,active,Carrier interconnection room
EMEA-DC-ONPREM-Network Core,emea-dc-onprem-network-core,emea-dc-onprem,active,Core network equipment room
EMEA-DC-ONPREM-Server Hall A,emea-dc-onprem-server-hall-a,emea-dc-onprem,active,Primary server hall
EMEA-DC-ONPREM-Server Hall B,emea-dc-onprem-server-hall-b,emea-dc-onprem,active,Secondary server hall
EMEA-DC-ONPREM-Storage Room,emea-dc-onprem-storage-room,emea-dc-onprem,active,Storage systems room
EMEA-DC-ONPREM-Meet-Me Room,emea-dc-onprem-meet-me-room,emea-dc-onprem,active,Carrier interconnection room
APAC-DC-CLOUD-Network Core,apac-dc-cloud-network-core,apac-dc-cloud,active,Core network equipment room
APAC-DC-CLOUD-Server Hall A,apac-dc-cloud-server-hall-a,apac-dc-cloud,active,Primary server hall
APAC-DC-CLOUD-Server Hall B,apac-dc-cloud-server-hall-b,apac-dc-cloud,active,Secondary server hall
APAC-DC-CLOUD-Storage Room,apac-dc-cloud-storage-room,apac-dc-cloud,active,Storage systems room
APAC-DC-CLOUD-Meet-Me Room,apac-dc-cloud-meet-me-room,apac-dc-cloud,active,Carrier interconnection room
APAC-DC-ONPREM-Network Core,apac-dc-onprem-network-core,apac-dc-onprem,active,Core network equipment room
APAC-DC-ONPREM-Server Hall A,apac-dc-onprem-server-hall-a,apac-dc-onprem,active,Primary server hall
APAC-DC-ONPREM-Server Hall B,apac-dc-onprem-server-hall-b,apac-dc-onprem,active,Secondary server hall
APAC-DC-ONPREM-Storage Room,apac-dc-onprem-storage-room,apac-dc-onprem,active,Storage systems room
APAC-DC-ONPREM-Meet-Me Room,apac-dc-onprem-meet-me-room,apac-dc-onprem,active,Carrier interconnection room
AMER-DC-CLOUD-Network Core,amer-dc-cloud-network-core,amer-dc-cloud,active,Core network equipment room
AMER-DC-CLOUD-Server Hall A,amer-dc-cloud-server-hall-a,amer-dc-cloud,active,Primary server hall
AMER-DC-CLOUD-Server Hall B,amer-dc-cloud-server-hall-b,amer-dc-cloud,active,Secondary server hall
AMER-DC-CLOUD-Storage Room,amer-dc-cloud-storage-room,amer-dc-cloud,active,Storage systems room
AMER-DC-CLOUD-Meet-Me Room,amer-dc-cloud-meet-me-room,amer-dc-cloud,active,Carrier interconnection room
AMER-DC-ONPREM-Network Core,amer-dc-onprem-network-core,amer-dc-onprem,active,Core network equipment room
AMER-DC-ONPREM-Server Hall A,amer-dc-onprem-server-hall-a,amer-dc-onprem,active,Primary server hall
AMER-DC-ONPREM-Server Hall B,amer-dc-onprem-server-hall-b,amer-dc-onprem,active,Secondary server hall
AMER-DC-ONPREM-Storage Room,amer-dc-onprem-storage-room,amer-dc-onprem,active,Storage systems room
AMER-DC-ONPREM-Meet-Me Room,amer-dc-onprem-meet-me-room,amer-dc-onprem,active,Carrier interconnection room
