name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-CLOUD-NET-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,EMEA-DC-CLOUD-NET-R01,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-CLOUD-NET-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,EMEA-DC-CLOUD-NET-R02,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-CLOUD-NET-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,EMEA-DC-CLOUD-NET-R03,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-CLOUD-NET-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,EMEA-DC-CLOUD-NET-R04,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-CLOUD-SRV-A-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R01,41,front,active,Fiber patch panel for spine switch
EMEA-DC-CLOUD-SRV-A-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R02,41,front,active,Fiber patch panel for spine switch
EMEA-DC-CLOUD-SRV-A-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R03,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-CLOUD-SRV-A-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R04,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-CLOUD-SRV-A-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R01,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-A-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R02,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-A-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R03,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-A-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R04,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-A-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R05,40,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-A-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,EMEA-DC-CLOUD-SRV-A-R06,40,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-B-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R01,41,front,active,Fiber patch panel for spine switch
EMEA-DC-CLOUD-SRV-B-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R02,41,front,active,Fiber patch panel for spine switch
EMEA-DC-CLOUD-SRV-B-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R03,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-CLOUD-SRV-B-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R04,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-CLOUD-SRV-B-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R01,25,front,active,Fiber patch panel for server connections
