label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,description
EMEA-DC-CLOUD-NET-R01-PF-0001,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-A,dcim.poweroutlet,Circuit-01,EMEA-DC-CLOUD-NET-R01-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-A to EMEA-DC-CLOUD-NET-R01-PDU-A
EMEA-DC-CLOUD-NET-R01-PF-0002,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-B,dcim.poweroutlet,Circuit-01,EMEA-DC-CLOUD-NET-R01-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-B to EMEA-DC-CLOUD-NET-R01-PDU-B
EMEA-DC-CLOUD-NET-R02-PF-0003,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-A,dcim.poweroutlet,Circuit-02,EMEA-DC-CLOUD-NET-R02-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-A to EMEA-DC-CLOUD-NET-R02-PDU-A
EMEA-DC-CLOUD-NET-R02-PF-0004,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-B,dcim.poweroutlet,Circuit-02,EMEA-DC-CLOUD-NET-R02-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-B to EMEA-DC-CLOUD-NET-R02-PDU-B
EMEA-DC-CLOUD-NET-R03-PF-0005,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-A,dcim.poweroutlet,Circuit-03,EMEA-DC-CLOUD-NET-R03-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-A to EMEA-DC-CLOUD-NET-R03-PDU-A
EMEA-DC-CLOUD-NET-R03-PF-0006,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-B,dcim.poweroutlet,Circuit-03,EMEA-DC-CLOUD-NET-R03-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-B to EMEA-DC-CLOUD-NET-R03-PDU-B
EMEA-DC-CLOUD-NET-R04-PF-0007,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-A,dcim.poweroutlet,Circuit-04,EMEA-DC-CLOUD-NET-R04-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-A to EMEA-DC-CLOUD-NET-R04-PDU-A
EMEA-DC-CLOUD-NET-R04-PF-0008,power,connected,EMEA-DC-CLOUD-Network-Core-PANEL-B,dcim.poweroutlet,Circuit-04,EMEA-DC-CLOUD-NET-R04-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Network-Core-PANEL-B to EMEA-DC-CLOUD-NET-R04-PDU-B
EMEA-DC-CLOUD-SRV-A-R01-PF-0009,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,dcim.poweroutlet,Circuit-01,EMEA-DC-CLOUD-SRV-A-R01-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-A to EMEA-DC-CLOUD-SRV-A-R01-PDU-A
EMEA-DC-CLOUD-SRV-A-R01-PF-0010,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,dcim.poweroutlet,Circuit-01,EMEA-DC-CLOUD-SRV-A-R01-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-B to EMEA-DC-CLOUD-SRV-A-R01-PDU-B
EMEA-DC-CLOUD-SRV-A-R02-PF-0011,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,dcim.poweroutlet,Circuit-02,EMEA-DC-CLOUD-SRV-A-R02-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-A to EMEA-DC-CLOUD-SRV-A-R02-PDU-A
EMEA-DC-CLOUD-SRV-A-R02-PF-0012,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,dcim.poweroutlet,Circuit-02,EMEA-DC-CLOUD-SRV-A-R02-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-B to EMEA-DC-CLOUD-SRV-A-R02-PDU-B
EMEA-DC-CLOUD-SRV-A-R03-PF-0013,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,dcim.poweroutlet,Circuit-03,EMEA-DC-CLOUD-SRV-A-R03-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-A to EMEA-DC-CLOUD-SRV-A-R03-PDU-A
EMEA-DC-CLOUD-SRV-A-R03-PF-0014,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,dcim.poweroutlet,Circuit-03,EMEA-DC-CLOUD-SRV-A-R03-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-B to EMEA-DC-CLOUD-SRV-A-R03-PDU-B
EMEA-DC-CLOUD-SRV-A-R04-PF-0015,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,dcim.poweroutlet,Circuit-04,EMEA-DC-CLOUD-SRV-A-R04-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-A to EMEA-DC-CLOUD-SRV-A-R04-PDU-A
EMEA-DC-CLOUD-SRV-A-R04-PF-0016,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,dcim.poweroutlet,Circuit-04,EMEA-DC-CLOUD-SRV-A-R04-PDU-B,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-B to EMEA-DC-CLOUD-SRV-A-R04-PDU-B
EMEA-DC-CLOUD-SRV-A-R05-PF-0017,power,connected,EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,dcim.poweroutlet,Circuit-05,EMEA-DC-CLOUD-SRV-A-R05-PDU-A,dcim.powerport,Power-In,,,Power feed: EMEA-DC-CLOUD-Server-Hall-A-PANEL-A to EMEA-DC-CLOUD-SRV-A-R05-PDU-A
