name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-CLOUD-Network-Core-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,,,,active,Primary power panel A-feed for Network Core
EMEA-DC-CLOUD-Network-Core-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,,,,active,Secondary power panel B-feed for Network Core
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,,,,active,Primary power panel A-feed for Server Hall A
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,,,,active,Secondary power panel B-feed for Server Hall A
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,,,,active,Primary power panel A-feed for Server Hall B
EMEA-DC-CLOUD-Server-Hall-B-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,,,,active,Secondary power panel B-feed for Server Hall B
EMEA-DC-CLOUD-Storage-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage,,,,active,Primary power panel A-feed for Storage
EMEA-DC-CLOUD-Storage-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage,,,,active,Secondary power panel B-feed for Storage
EMEA-DC-CLOUD-MMR-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-MMR,,,,active,Primary power panel A-feed for MMR
EMEA-DC-CLOUD-MMR-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-CLOUD,EMEA-DC-CLOUD-MMR,,,,active,Secondary power panel B-feed for MMR
EMEA-DC-ONPREM-Network-Core-PANEL-A,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,,,,active,Primary power panel A-feed for Network Core
EMEA-DC-ONPREM-Network-Core-PANEL-B,Generic,480V/208V 3-Phase Panel,PDU,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,,,,active,Secondary power panel B-feed for Network Core
