label,type,status,a_termination_type,a_termination,b_termination_type,b_termination,length,length_unit,description
EMEA-DC-CLOUD-EC-00001,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/1,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-1,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00002,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/2,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-2,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00003,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/3,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-3,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00004,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/4,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-4,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00005,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/5,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-5,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00006,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/6,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-6,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00007,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/7,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-7,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00008,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/8,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-8,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00009,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/9,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-9,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00010,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/10,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-10,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00011,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/11,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-11,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00012,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/12,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-12,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00013,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/13,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-13,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00014,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/14,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-14,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00015,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/15,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-15,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00016,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/16,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-16,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00017,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/17,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-17,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00018,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/18,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-18,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00019,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/19,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-19,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00020,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/20,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-20,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00021,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/21,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-21,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00022,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/22,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-22,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00023,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/23,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-23,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00024,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/24,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-24,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00025,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/25,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-25,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00026,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/26,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-26,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00027,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/27,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-27,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00028,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/28,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-28,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00029,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/29,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-29,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00030,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/30,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-30,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00031,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/31,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-31,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00032,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/32,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-32,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00033,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/33,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-33,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00034,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/34,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-34,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00035,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/35,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-35,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00036,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/36,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-36,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00037,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/37,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-37,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00038,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/38,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-38,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00039,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/39,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-39,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00040,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/40,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-40,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00041,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/41,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-41,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00042,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/42,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-42,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00043,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/43,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-43,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00044,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/44,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-44,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00045,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/45,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-45,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00046,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/46,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-46,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00047,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/47,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-47,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00048,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW01:Ethernet1/48,dcim.interface,EMEA-DC-CLOUD-NET-R01-FPP01:Port-48,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW01 to patch panel
EMEA-DC-CLOUD-EC-00049,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/1,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-1,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
EMEA-DC-CLOUD-EC-00050,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/2,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-2,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
EMEA-DC-CLOUD-EC-00051,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/3,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-3,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
EMEA-DC-CLOUD-EC-00052,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/4,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-4,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
EMEA-DC-CLOUD-EC-00053,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/5,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-5,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
EMEA-DC-CLOUD-EC-00054,smf,connected,dcim.interface,EMEA-DC-CLOUD-CORE-SW02:Ethernet1/6,dcim.interface,EMEA-DC-CLOUD-NET-R02-FPP01:Port-6,,,Equipment cable: EMEA-DC-CLOUD-CORE-SW02 to patch panel
