name,slug,site,status,description
CN-Agency1-MDF1,cn-agency1-mdf1,CN-Agency1,active,Main Distribution Frame 1 - China
CN-Agency1-MDF2,cn-agency1-mdf2,CN-Agency1,active,Main Distribution Frame 2 - China
CN-Agency2-MDF1,cn-agency2-mdf1,CN-Agency2,active,Main Distribution Frame 1 - China
CN-Agency2-MDF2,cn-agency2-mdf2,CN-Agency2,active,Main Distribution Frame 2 - China
JP-Agency1-MDF1,jp-agency1-mdf1,JP-Agency1,active,Main Distribution Frame 1 - Japan
JP-Agency1-MDF2,jp-agency1-mdf2,JP-Agency1,active,Main Distribution Frame 2 - Japan
JP-Agency2-MDF1,jp-agency2-mdf1,JP-Agency2,active,Main Distribution Frame 1 - Japan
JP-Agency2-MDF2,jp-agency2-mdf2,JP-Agency2,active,Main Distribution Frame 2 - Japan
KR-Agency1-MDF1,kr-agency1-mdf1,KR-Agency1,active,Main Distribution Frame 1 - South Korea
KR-Agency1-MDF2,kr-agency1-mdf2,KR-Agency1,active,Main Distribution Frame 2 - South Korea
KR-Agency2-MDF1,kr-agency2-mdf1,KR-Agency2,active,Main Distribution Frame 1 - South Korea
KR-Agency2-MDF2,kr-agency2-mdf2,KR-Agency2,active,Main Distribution Frame 2 - South Korea
TW-Agency1-MDF1,tw-agency1-mdf1,TW-Agency1,active,Main Distribution Frame 1 - Taiwan
TW-Agency1-MDF2,tw-agency1-mdf2,TW-Agency1,active,Main Distribution Frame 2 - Taiwan
TW-Agency2-MDF1,tw-agency2-mdf1,TW-Agency2,active,Main Distribution Frame 1 - Taiwan
TW-Agency2-MDF2,tw-agency2-mdf2,TW-Agency2,active,Main Distribution Frame 2 - Taiwan
HK-Agency1-MDF1,hk-agency1-mdf1,HK-Agency1,active,Main Distribution Frame 1 - Hong Kong
HK-Agency1-MDF2,hk-agency1-mdf2,HK-Agency1,active,Main Distribution Frame 2 - Hong Kong
HK-Agency2-MDF1,hk-agency2-mdf1,HK-Agency2,active,Main Distribution Frame 1 - Hong Kong
HK-Agency2-MDF2,hk-agency2-mdf2,HK-Agency2,active,Main Distribution Frame 2 - Hong Kong
MO-Agency1-MDF1,mo-agency1-mdf1,MO-Agency1,active,Main Distribution Frame 1 - Macau
MO-Agency1-MDF2,mo-agency1-mdf2,MO-Agency1,active,Main Distribution Frame 2 - Macau
