name,site,location,status,rack_type,description
US-Agency1-MDF1-R01,US-Agency1,US-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - US-Agency1-MDF1
US-Agency1-MDF1-R02,US-Agency1,US-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - US-Agency1-MDF1
US-Agency1-MDF2-R01,US-Agency1,US-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - US-Agency1-MDF2
US-Agency1-MDF2-R02,US-Agency1,US-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - US-Agency1-MDF2
US-Agency2-MDF1-R01,US-Agency2,US-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - US-Agency2-MDF1
US-Agency2-MDF1-R02,US-Agency2,US-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - US-Agency2-MDF1
US-Agency2-MDF2-R01,US-Agency2,US-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - US-Agency2-MDF2
US-Agency2-MDF2-R02,US-Agency2,US-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - US-Agency2-MDF2
CA-Agency1-MDF1-R01,CA-Agency1,CA-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - CA-Agency1-MDF1
CA-Agency1-MDF1-R02,CA-Agency1,CA-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - CA-Agency1-MDF1
CA-Agency1-MDF2-R01,CA-Agency1,CA-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - CA-Agency1-MDF2
CA-Agency1-MDF2-R02,CA-Agency1,CA-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - CA-Agency1-MDF2
CA-Agency2-MDF1-R01,CA-Agency2,CA-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - CA-Agency2-MDF1
CA-Agency2-MDF1-R02,CA-Agency2,CA-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - CA-Agency2-MDF1
CA-Agency2-MDF2-R01,CA-Agency2,CA-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - CA-Agency2-MDF2
CA-Agency2-MDF2-R02,CA-Agency2,CA-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - CA-Agency2-MDF2
MX-Agency1-MDF1-R01,MX-Agency1,MX-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - MX-Agency1-MDF1
MX-Agency1-MDF1-R02,MX-Agency1,MX-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - MX-Agency1-MDF1
MX-Agency1-MDF2-R01,MX-Agency1,MX-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - MX-Agency1-MDF2
MX-Agency1-MDF2-R02,MX-Agency1,MX-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - MX-Agency1-MDF2
MX-Agency2-MDF1-R01,MX-Agency2,MX-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - MX-Agency2-MDF1
MX-Agency2-MDF1-R02,MX-Agency2,MX-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - MX-Agency2-MDF1
MX-Agency2-MDF2-R01,MX-Agency2,MX-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - MX-Agency2-MDF2
MX-Agency2-MDF2-R02,MX-Agency2,MX-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - MX-Agency2-MDF2
GT-Agency1-MDF1-R01,GT-Agency1,GT-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - GT-Agency1-MDF1
GT-Agency1-MDF1-R02,GT-Agency1,GT-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - GT-Agency1-MDF1
GT-Agency1-MDF2-R01,GT-Agency1,GT-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - GT-Agency1-MDF2
GT-Agency1-MDF2-R02,GT-Agency1,GT-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - GT-Agency1-MDF2
GT-Agency2-MDF1-R01,GT-Agency2,GT-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - GT-Agency2-MDF1
GT-Agency2-MDF1-R02,GT-Agency2,GT-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - GT-Agency2-MDF1
GT-Agency2-MDF2-R01,GT-Agency2,GT-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - GT-Agency2-MDF2
