name,site,location,status,rack_type,description
CN-Agency1-MDF1-R01,CN-Agency1,CN-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - CN-Agency1-MDF1
CN-Agency1-MDF1-R02,CN-Agency1,CN-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - CN-Agency1-MDF1
CN-Agency1-MDF2-R01,CN-Agency1,CN-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - CN-Agency1-MDF2
CN-Agency1-MDF2-R02,CN-Agency1,CN-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - CN-Agency1-MDF2
CN-Agency2-MDF1-R01,CN-Agency2,CN-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - CN-Agency2-MDF1
CN-Agency2-MDF1-R02,CN-Agency2,CN-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - CN-Agency2-MDF1
CN-Agency2-MDF2-R01,CN-Agency2,CN-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - CN-Agency2-MDF2
CN-Agency2-MDF2-R02,CN-Agency2,CN-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - CN-Agency2-MDF2
JP-Agency1-MDF1-R01,JP-Agency1,JP-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - JP-Agency1-MDF1
JP-Agency1-MDF1-R02,JP-Agency1,JP-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - JP-Agency1-MDF1
JP-Agency1-MDF2-R01,JP-Agency1,JP-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - JP-Agency1-MDF2
JP-Agency1-MDF2-R02,JP-Agency1,JP-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - JP-Agency1-MDF2
JP-Agency2-MDF1-R01,JP-Agency2,JP-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - JP-Agency2-MDF1
JP-Agency2-MDF1-R02,JP-Agency2,JP-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - JP-Agency2-MDF1
JP-Agency2-MDF2-R01,JP-Agency2,JP-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - JP-Agency2-MDF2
JP-Agency2-MDF2-R02,JP-Agency2,JP-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - JP-Agency2-MDF2
KR-Agency1-MDF1-R01,KR-Agency1,KR-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - KR-Agency1-MDF1
KR-Agency1-MDF1-R02,KR-Agency1,KR-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - KR-Agency1-MDF1
KR-Agency1-MDF2-R01,KR-Agency1,KR-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - KR-Agency1-MDF2
KR-Agency1-MDF2-R02,KR-Agency1,KR-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - KR-Agency1-MDF2
KR-Agency2-MDF1-R01,KR-Agency2,KR-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - KR-Agency2-MDF1
KR-Agency2-MDF1-R02,KR-Agency2,KR-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - KR-Agency2-MDF1
KR-Agency2-MDF2-R01,KR-Agency2,KR-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - KR-Agency2-MDF2
KR-Agency2-MDF2-R02,KR-Agency2,KR-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - KR-Agency2-MDF2
TW-Agency1-MDF1-R01,TW-Agency1,TW-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - TW-Agency1-MDF1
TW-Agency1-MDF1-R02,TW-Agency1,TW-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - TW-Agency1-MDF1
TW-Agency1-MDF2-R01,TW-Agency1,TW-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - TW-Agency1-MDF2
TW-Agency1-MDF2-R02,TW-Agency1,TW-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - TW-Agency1-MDF2
TW-Agency2-MDF1-R01,TW-Agency2,TW-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - TW-Agency2-MDF1
TW-Agency2-MDF1-R02,TW-Agency2,TW-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - TW-Agency2-MDF1
TW-Agency2-MDF2-R01,TW-Agency2,TW-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - TW-Agency2-MDF2
TW-Agency2-MDF2-R02,TW-Agency2,TW-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - TW-Agency2-MDF2
HK-Agency1-MDF1-R01,HK-Agency1,HK-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - HK-Agency1-MDF1
HK-Agency1-MDF1-R02,HK-Agency1,HK-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - HK-Agency1-MDF1
HK-Agency1-MDF2-R01,HK-Agency1,HK-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - HK-Agency1-MDF2
HK-Agency1-MDF2-R02,HK-Agency1,HK-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - HK-Agency1-MDF2
HK-Agency2-MDF1-R01,HK-Agency2,HK-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - HK-Agency2-MDF1
HK-Agency2-MDF1-R02,HK-Agency2,HK-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - HK-Agency2-MDF1
HK-Agency2-MDF2-R01,HK-Agency2,HK-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - HK-Agency2-MDF2
HK-Agency2-MDF2-R02,HK-Agency2,HK-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - HK-Agency2-MDF2
MO-Agency1-MDF1-R01,MO-Agency1,MO-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - MO-Agency1-MDF1
MO-Agency1-MDF1-R02,MO-Agency1,MO-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - MO-Agency1-MDF1
MO-Agency1-MDF2-R01,MO-Agency1,MO-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - MO-Agency1-MDF2
MO-Agency1-MDF2-R02,MO-Agency1,MO-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - MO-Agency1-MDF2
MO-Agency2-MDF1-R01,MO-Agency2,MO-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - MO-Agency2-MDF1
MO-Agency2-MDF1-R02,MO-Agency2,MO-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - MO-Agency2-MDF1
MO-Agency2-MDF2-R01,MO-Agency2,MO-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - MO-Agency2-MDF2
MO-Agency2-MDF2-R02,MO-Agency2,MO-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - MO-Agency2-MDF2
MN-Agency1-MDF1-R01,MN-Agency1,MN-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - MN-Agency1-MDF1
MN-Agency1-MDF1-R02,MN-Agency1,MN-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - MN-Agency1-MDF1
MN-Agency1-MDF2-R01,MN-Agency1,MN-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - MN-Agency1-MDF2
MN-Agency1-MDF2-R02,MN-Agency1,MN-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - MN-Agency1-MDF2
MN-Agency2-MDF1-R01,MN-Agency2,MN-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - MN-Agency2-MDF1
MN-Agency2-MDF1-R02,MN-Agency2,MN-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - MN-Agency2-MDF1
MN-Agency2-MDF2-R01,MN-Agency2,MN-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - MN-Agency2-MDF2
MN-Agency2-MDF2-R02,MN-Agency2,MN-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - MN-Agency2-MDF2
SG-Agency1-MDF1-R01,SG-Agency1,SG-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - SG-Agency1-MDF1
SG-Agency1-MDF1-R02,SG-Agency1,SG-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - SG-Agency1-MDF1
SG-Agency1-MDF2-R01,SG-Agency1,SG-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - SG-Agency1-MDF2
SG-Agency1-MDF2-R02,SG-Agency1,SG-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - SG-Agency1-MDF2
SG-Agency2-MDF1-R01,SG-Agency2,SG-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - SG-Agency2-MDF1
SG-Agency2-MDF1-R02,SG-Agency2,SG-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - SG-Agency2-MDF1
SG-Agency2-MDF2-R01,SG-Agency2,SG-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - SG-Agency2-MDF2
SG-Agency2-MDF2-R02,SG-Agency2,SG-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - SG-Agency2-MDF2
MY-Agency1-MDF1-R01,MY-Agency1,MY-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - MY-Agency1-MDF1
MY-Agency1-MDF1-R02,MY-Agency1,MY-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - MY-Agency1-MDF1
MY-Agency1-MDF2-R01,MY-Agency1,MY-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - MY-Agency1-MDF2
MY-Agency1-MDF2-R02,MY-Agency1,MY-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - MY-Agency1-MDF2
MY-Agency2-MDF1-R01,MY-Agency2,MY-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - MY-Agency2-MDF1
MY-Agency2-MDF1-R02,MY-Agency2,MY-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - MY-Agency2-MDF1
MY-Agency2-MDF2-R01,MY-Agency2,MY-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - MY-Agency2-MDF2
MY-Agency2-MDF2-R02,MY-Agency2,MY-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - MY-Agency2-MDF2
TH-Agency1-MDF1-R01,TH-Agency1,TH-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - TH-Agency1-MDF1
TH-Agency1-MDF1-R02,TH-Agency1,TH-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - TH-Agency1-MDF1
TH-Agency1-MDF2-R01,TH-Agency1,TH-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - TH-Agency1-MDF2
TH-Agency1-MDF2-R02,TH-Agency1,TH-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - TH-Agency1-MDF2
TH-Agency2-MDF1-R01,TH-Agency2,TH-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - TH-Agency2-MDF1
TH-Agency2-MDF1-R02,TH-Agency2,TH-Agency2-MDF1,active,Standard 22U Rack,22U Secondary Rack - TH-Agency2-MDF1
TH-Agency2-MDF2-R01,TH-Agency2,TH-Agency2-MDF2,active,Standard 42U Rack,42U Main Rack - TH-Agency2-MDF2
TH-Agency2-MDF2-R02,TH-Agency2,TH-Agency2-MDF2,active,Standard 22U Rack,22U Secondary Rack - TH-Agency2-MDF2
ID-Agency1-MDF1-R01,ID-Agency1,ID-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - ID-Agency1-MDF1
ID-Agency1-MDF1-R02,ID-Agency1,ID-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - ID-Agency1-MDF1
ID-Agency1-MDF2-R01,ID-Agency1,ID-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - ID-Agency1-MDF2
ID-Agency1-MDF2-R02,ID-Agency1,ID-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - ID-Agency1-MDF2
ID-Agency2-MDF1-R01,ID-Agency2,ID-Agency2-MDF1,active,Standard 42U Rack,42U Main Rack - ID-Agency2-MDF1
