name,slug,color,description
Datacenter,datacenter,3f51b5,Datacenter site
Cloud,cloud,00bcd4,Cloud datacenter
OnPrem,onprem,4caf50,On-premises datacenter
Carrier,carrier,ff5722,Carrier provider
Internet-DIA,internet-dia,2196f3,Dedicated Internet Access
MPLS,mpls,9c27b0,MPLS circuit
Dark-Fiber,dark-fiber,607d8b,Dark fiber circuit
Cross-Connect,cross-connect,795548,Cross connect
Cloud-Connect,cloud-connect,ff9800,Cloud provider connect
AMER,amer,dc3545,AMER - Main geographic region
APAC,apac,198754,APAC - Main geographic region
EMEA,emea,0d6efd,EMEA - Main geographic region
Agency,agency,ffc107,Agency site type
Afghanistan,afghanistan,6c757d,Country: Afghanistan
Andorra,andorra,6c757d,Country: Andorra
Antigua And Barbuda,antigua-and-barbuda,6c757d,Country: Antigua And Barbuda
Argentina,argentina,6c757d,Country: Argentina
Aruba,aruba,6c757d,Country: Aruba
Australia,australia,6c757d,Country: Australia
Austria,austria,6c757d,Country: Austria
Bahamas,bahamas,6c757d,Country: Bahamas
Bahrain,bahrain,6c757d,Country: Bahrain
Bangladesh,bangladesh,6c757d,Country: Bangladesh
Barbados,barbados,6c757d,Country: Barbados
Belgium,belgium,6c757d,Country: Belgium
Belize,belize,6c757d,Country: Belize
Bhutan,bhutan,6c757d,Country: Bhutan
Bolivia,bolivia,6c757d,Country: Bolivia
Brazil,brazil,6c757d,Country: Brazil
British Virgin Islands,british-virgin-islands,6c757d,Country: British Virgin Islands
Brunei,brunei,6c757d,Country: Brunei
Bulgaria,bulgaria,6c757d,Country: Bulgaria
Cambodia,cambodia,6c757d,Country: Cambodia
Canada,canada,6c757d,Country: Canada
Cayman Islands,cayman-islands,6c757d,Country: Cayman Islands
Chile,chile,6c757d,Country: Chile
China,china,6c757d,Country: China
Colombia,colombia,6c757d,Country: Colombia
Costa Rica,costa-rica,6c757d,Country: Costa Rica
Croatia,croatia,6c757d,Country: Croatia
Cuba,cuba,6c757d,Country: Cuba
Curacao,curacao,6c757d,Country: Curacao
Cyprus,cyprus,6c757d,Country: Cyprus
Czech Republic,czech-republic,6c757d,Country: Czech Republic
Denmark,denmark,6c757d,Country: Denmark
Dominica,dominica,6c757d,Country: Dominica
Dominican Republic,dominican-republic,6c757d,Country: Dominican Republic
Ecuador,ecuador,6c757d,Country: Ecuador
Egypt,egypt,6c757d,Country: Egypt
El Salvador,el-salvador,6c757d,Country: El Salvador
Estonia,estonia,6c757d,Country: Estonia
Fiji,fiji,6c757d,Country: Fiji
Finland,finland,6c757d,Country: Finland
France,france,6c757d,Country: France
French Guiana,french-guiana,6c757d,Country: French Guiana
French Polynesia,french-polynesia,6c757d,Country: French Polynesia
Germany,germany,6c757d,Country: Germany
Ghana,ghana,6c757d,Country: Ghana
Greece,greece,6c757d,Country: Greece
Grenada,grenada,6c757d,Country: Grenada
Guam,guam,6c757d,Country: Guam
Guatemala,guatemala,6c757d,Country: Guatemala
Guyana,guyana,6c757d,Country: Guyana
Haiti,haiti,6c757d,Country: Haiti
Honduras,honduras,6c757d,Country: Honduras
Hong Kong,hong-kong,6c757d,Country: Hong Kong
Hungary,hungary,6c757d,Country: Hungary
Iceland,iceland,6c757d,Country: Iceland
India,india,6c757d,Country: India
Indonesia,indonesia,6c757d,Country: Indonesia
Ireland,ireland,6c757d,Country: Ireland
Israel,israel,6c757d,Country: Israel
Italy,italy,6c757d,Country: Italy
Ivory Coast,ivory-coast,6c757d,Country: Ivory Coast
Jamaica,jamaica,6c757d,Country: Jamaica
Japan,japan,6c757d,Country: Japan
Jordan,jordan,6c757d,Country: Jordan
Kazakhstan,kazakhstan,6c757d,Country: Kazakhstan
Kenya,kenya,6c757d,Country: Kenya
Kiribati,kiribati,6c757d,Country: Kiribati
Kuwait,kuwait,6c757d,Country: Kuwait
Kyrgyzstan,kyrgyzstan,6c757d,Country: Kyrgyzstan
Laos,laos,6c757d,Country: Laos
