device,name,type,rear_port,rear_port_position,description
EMEA-DC-ONPREM-NET-R01-FPP01,Front-1,lc,Rear-1,1,Front port 1
EMEA-DC-ONPREM-NET-R01-FPP01,Front-2,lc,Rear-2,1,Front port 2
EMEA-DC-ONPREM-NET-R01-FPP01,Front-3,lc,Rear-3,1,Front port 3
EMEA-DC-ONPREM-NET-R01-FPP01,Front-4,lc,Rear-4,1,Front port 4
EMEA-DC-ONPREM-NET-R01-FPP01,Front-5,lc,Rear-5,1,Front port 5
EMEA-DC-ONPREM-NET-R01-FPP01,Front-6,lc,Rear-6,1,Front port 6
EMEA-DC-ONPREM-NET-R01-FPP01,Front-7,lc,Rear-7,1,Front port 7
EMEA-DC-ONPREM-NET-R01-FPP01,Front-8,lc,Rear-8,1,Front port 8
EMEA-DC-ONPREM-NET-R01-FPP01,Front-9,lc,Rear-9,1,Front port 9
EMEA-DC-ONPREM-NET-R01-FPP01,Front-10,lc,Rear-10,1,Front port 10
EMEA-DC-ONPREM-NET-R01-FPP01,Front-11,lc,Rear-11,1,Front port 11
EMEA-DC-ONPREM-NET-R01-FPP01,Front-12,lc,Rear-12,1,Front port 12
EMEA-DC-ONPREM-NET-R01-FPP01,Front-13,lc,Rear-13,1,Front port 13
EMEA-DC-ONPREM-NET-R01-FPP01,Front-14,lc,Rear-14,1,Front port 14
EMEA-DC-ONPREM-NET-R01-FPP01,Front-15,lc,Rear-15,1,Front port 15
EMEA-DC-ONPREM-NET-R01-FPP01,Front-16,lc,Rear-16,1,Front port 16
EMEA-DC-ONPREM-NET-R01-FPP01,Front-17,lc,Rear-17,1,Front port 17
EMEA-DC-ONPREM-NET-R01-FPP01,Front-18,lc,Rear-18,1,Front port 18
EMEA-DC-ONPREM-NET-R01-FPP01,Front-19,lc,Rear-19,1,Front port 19
EMEA-DC-ONPREM-NET-R01-FPP01,Front-20,lc,Rear-20,1,Front port 20
EMEA-DC-ONPREM-NET-R01-FPP01,Front-21,lc,Rear-21,1,Front port 21
EMEA-DC-ONPREM-NET-R01-FPP01,Front-22,lc,Rear-22,1,Front port 22
EMEA-DC-ONPREM-NET-R01-FPP01,Front-23,lc,Rear-23,1,Front port 23
EMEA-DC-ONPREM-NET-R01-FPP01,Front-24,lc,Rear-24,1,Front port 24
EMEA-DC-ONPREM-NET-R01-FPP01,Front-25,lc,Rear-25,1,Front port 25
EMEA-DC-ONPREM-NET-R01-FPP01,Front-26,lc,Rear-26,1,Front port 26
EMEA-DC-ONPREM-NET-R01-FPP01,Front-27,lc,Rear-27,1,Front port 27
EMEA-DC-ONPREM-NET-R01-FPP01,Front-28,lc,Rear-28,1,Front port 28
EMEA-DC-ONPREM-NET-R01-FPP01,Front-29,lc,Rear-29,1,Front port 29
EMEA-DC-ONPREM-NET-R01-FPP01,Front-30,lc,Rear-30,1,Front port 30
EMEA-DC-ONPREM-NET-R01-FPP01,Front-31,lc,Rear-31,1,Front port 31
EMEA-DC-ONPREM-NET-R01-FPP01,Front-32,lc,Rear-32,1,Front port 32
EMEA-DC-ONPREM-NET-R01-FPP01,Front-33,lc,Rear-33,1,Front port 33
EMEA-DC-ONPREM-NET-R01-FPP01,Front-34,lc,Rear-34,1,Front port 34
EMEA-DC-ONPREM-NET-R01-FPP01,Front-35,lc,Rear-35,1,Front port 35
EMEA-DC-ONPREM-NET-R01-FPP01,Front-36,lc,Rear-36,1,Front port 36
EMEA-DC-ONPREM-NET-R01-FPP01,Front-37,lc,Rear-37,1,Front port 37
EMEA-DC-ONPREM-NET-R01-FPP01,Front-38,lc,Rear-38,1,Front port 38
EMEA-DC-ONPREM-NET-R01-FPP01,Front-39,lc,Rear-39,1,Front port 39
EMEA-DC-ONPREM-NET-R01-FPP01,Front-40,lc,Rear-40,1,Front port 40
EMEA-DC-ONPREM-NET-R01-FPP01,Front-41,lc,Rear-41,1,Front port 41
EMEA-DC-ONPREM-NET-R01-FPP01,Front-42,lc,Rear-42,1,Front port 42
EMEA-DC-ONPREM-NET-R01-FPP01,Front-43,lc,Rear-43,1,Front port 43
EMEA-DC-ONPREM-NET-R01-FPP01,Front-44,lc,Rear-44,1,Front port 44
EMEA-DC-ONPREM-NET-R01-FPP01,Front-45,lc,Rear-45,1,Front port 45
EMEA-DC-ONPREM-NET-R01-FPP01,Front-46,lc,Rear-46,1,Front port 46
EMEA-DC-ONPREM-NET-R01-FPP01,Front-47,lc,Rear-47,1,Front port 47
EMEA-DC-ONPREM-NET-R01-FPP01,Front-48,lc,Rear-48,1,Front port 48
EMEA-DC-ONPREM-NET-R02-FPP01,Front-1,lc,Rear-1,1,Front port 1
EMEA-DC-ONPREM-NET-R02-FPP01,Front-2,lc,Rear-2,1,Front port 2
EMEA-DC-ONPREM-NET-R02-FPP01,Front-3,lc,Rear-3,1,Front port 3
EMEA-DC-ONPREM-NET-R02-FPP01,Front-4,lc,Rear-4,1,Front port 4
EMEA-DC-ONPREM-NET-R02-FPP01,Front-5,lc,Rear-5,1,Front port 5
EMEA-DC-ONPREM-NET-R02-FPP01,Front-6,lc,Rear-6,1,Front port 6
EMEA-DC-ONPREM-NET-R02-FPP01,Front-7,lc,Rear-7,1,Front port 7
