name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-ONPREM-NET-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R01,20,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R02,5,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R03,15,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R04,15,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-SRV-A-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,39,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-A-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,39,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-A-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,39,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-A-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,39,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-A-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R05,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R06,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,39,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-B-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,39,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-B-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R03,39,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-B-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R04,39,front,active,Fiber patch panel for leaf switch
