label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,description
EMEA-DC-ONPREM-SRV-A-R05-PC-ESX-A01-1,power,connected,EMEA-DC-ONPREM-ESX-A01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R05-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A01 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R05-PC-ESX-A01-2,power,connected,EMEA-DC-ONPREM-ESX-A01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R05-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A01 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-A-R06-PC-ESX-A02-1,power,connected,EMEA-DC-ONPREM-ESX-A02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R06-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A02 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R06-PC-ESX-A02-2,power,connected,EMEA-DC-ONPREM-ESX-A02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R06-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A02 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-A-R01-PC-ESX-A03-1,power,connected,EMEA-DC-ONPREM-ESX-A03,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A03 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R01-PC-ESX-A03-2,power,connected,EMEA-DC-ONPREM-ESX-A03,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A03 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-A-R02-PC-ESX-A04-1,power,connected,EMEA-DC-ONPREM-ESX-A04,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A04 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R02-PC-ESX-A04-2,power,connected,EMEA-DC-ONPREM-ESX-A04,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A04 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-A-R03-PC-ESX-A05-1,power,connected,EMEA-DC-ONPREM-ESX-A05,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R03-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A05 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R03-PC-ESX-A05-2,power,connected,EMEA-DC-ONPREM-ESX-A05,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R03-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A05 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-A-R04-PC-ESX-A06-1,power,connected,EMEA-DC-ONPREM-ESX-A06,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R04-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A06 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-A-R04-PC-ESX-A06-2,power,connected,EMEA-DC-ONPREM-ESX-A06,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R04-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A06 PSU2 to PDU-B
EMEA-DC-ONPREM-SRV-B-R05-PC-ESX-B01-1,power,connected,EMEA-DC-ONPREM-ESX-B01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R05-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B01 PSU1 to PDU-A
EMEA-DC-ONPREM-SRV-B-R05-PC-ESX-B01-2,power,connected,EMEA-DC-ONPREM-ESX-B01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R05-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B01 PSU2 to PDU-B
