label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,description
EMEA-DC-ONPREM-NET-R01-PC-0079,power,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-CORE-SW01 PSU1 to EMEA-DC-ONPREM-NET-R01-PDU-A
EMEA-DC-ONPREM-NET-R01-PC-0080,power,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-CORE-SW01 PSU2 to EMEA-DC-ONPREM-NET-R01-PDU-B
EMEA-DC-ONPREM-NET-R02-PC-0081,power,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-CORE-SW02 PSU1 to EMEA-DC-ONPREM-NET-R02-PDU-A
EMEA-DC-ONPREM-NET-R02-PC-0082,power,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-CORE-SW02 PSU2 to EMEA-DC-ONPREM-NET-R02-PDU-B
EMEA-DC-ONPREM-NET-R03-PC-0083,power,connected,EMEA-DC-ONPREM-DIST-SW01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R03-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-DIST-SW01 PSU1 to EMEA-DC-ONPREM-NET-R03-PDU-A
EMEA-DC-ONPREM-NET-R03-PC-0084,power,connected,EMEA-DC-ONPREM-DIST-SW01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R03-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-DIST-SW01 PSU2 to EMEA-DC-ONPREM-NET-R03-PDU-B
EMEA-DC-ONPREM-NET-R04-PC-0085,power,connected,EMEA-DC-ONPREM-DIST-SW02,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R04-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-DIST-SW02 PSU1 to EMEA-DC-ONPREM-NET-R04-PDU-A
EMEA-DC-ONPREM-NET-R04-PC-0086,power,connected,EMEA-DC-ONPREM-DIST-SW02,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R04-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-DIST-SW02 PSU2 to EMEA-DC-ONPREM-NET-R04-PDU-B
EMEA-DC-ONPREM-NET-R01-PC-0087,power,connected,EMEA-DC-ONPREM-FW-EXT-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R01-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-EXT-01 PSU1 to EMEA-DC-ONPREM-NET-R01-PDU-A
EMEA-DC-ONPREM-NET-R01-PC-0088,power,connected,EMEA-DC-ONPREM-FW-EXT-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R01-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-EXT-01 PSU2 to EMEA-DC-ONPREM-NET-R01-PDU-B
EMEA-DC-ONPREM-NET-R02-PC-0089,power,connected,EMEA-DC-ONPREM-FW-EXT-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R02-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-EXT-02 PSU1 to EMEA-DC-ONPREM-NET-R02-PDU-A
EMEA-DC-ONPREM-NET-R02-PC-0090,power,connected,EMEA-DC-ONPREM-FW-EXT-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R02-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-EXT-02 PSU2 to EMEA-DC-ONPREM-NET-R02-PDU-B
EMEA-DC-ONPREM-NET-R03-PC-0091,power,connected,EMEA-DC-ONPREM-FW-INT-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R03-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-INT-01 PSU1 to EMEA-DC-ONPREM-NET-R03-PDU-A
EMEA-DC-ONPREM-NET-R03-PC-0092,power,connected,EMEA-DC-ONPREM-FW-INT-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R03-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-INT-01 PSU2 to EMEA-DC-ONPREM-NET-R03-PDU-B
EMEA-DC-ONPREM-NET-R04-PC-0093,power,connected,EMEA-DC-ONPREM-FW-INT-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R04-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-INT-02 PSU1 to EMEA-DC-ONPREM-NET-R04-PDU-A
EMEA-DC-ONPREM-NET-R04-PC-0094,power,connected,EMEA-DC-ONPREM-FW-INT-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R04-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-FW-INT-02 PSU2 to EMEA-DC-ONPREM-NET-R04-PDU-B
EMEA-DC-ONPREM-NET-R01-PC-0095,power,connected,EMEA-DC-ONPREM-RTR-EDGE-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R01-PDU-A,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-RTR-EDGE-01 PSU1 to EMEA-DC-ONPREM-NET-R01-PDU-A
EMEA-DC-ONPREM-NET-R01-PC-0096,power,connected,EMEA-DC-ONPREM-RTR-EDGE-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R01-PDU-B,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-RTR-EDGE-01 PSU2 to EMEA-DC-ONPREM-NET-R01-PDU-B
EMEA-DC-ONPREM-NET-R02-PC-0097,power,connected,EMEA-DC-ONPREM-RTR-EDGE-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R02-PDU-A,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-RTR-EDGE-02 PSU1 to EMEA-DC-ONPREM-NET-R02-PDU-A
EMEA-DC-ONPREM-NET-R02-PC-0098,power,connected,EMEA-DC-ONPREM-RTR-EDGE-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R02-PDU-B,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-RTR-EDGE-02 PSU2 to EMEA-DC-ONPREM-NET-R02-PDU-B
EMEA-DC-ONPREM-NET-R03-PC-0099,power,connected,EMEA-DC-ONPREM-LB-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-NET-R03-PDU-A,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-LB-01 PSU1 to EMEA-DC-ONPREM-NET-R03-PDU-A
EMEA-DC-ONPREM-NET-R03-PC-0100,power,connected,EMEA-DC-ONPREM-LB-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-NET-R03-PDU-B,dcim.poweroutlet,Outlet-03,,,Power cable: EMEA-DC-ONPREM-LB-01 PSU2 to EMEA-DC-ONPREM-NET-R03-PDU-B
EMEA-DC-ONPREM-SRV-A-R01-PC-0101,power,connected,EMEA-DC-ONPREM-SPINE-A01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-A01 PSU1 to EMEA-DC-ONPREM-SRV-A-R01-PDU-A
EMEA-DC-ONPREM-SRV-A-R01-PC-0102,power,connected,EMEA-DC-ONPREM-SPINE-A01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-A01 PSU2 to EMEA-DC-ONPREM-SRV-A-R01-PDU-B
EMEA-DC-ONPREM-SRV-A-R02-PC-0103,power,connected,EMEA-DC-ONPREM-SPINE-A02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-A02 PSU1 to EMEA-DC-ONPREM-SRV-A-R02-PDU-A
EMEA-DC-ONPREM-SRV-A-R02-PC-0104,power,connected,EMEA-DC-ONPREM-SPINE-A02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-A02 PSU2 to EMEA-DC-ONPREM-SRV-A-R02-PDU-B
EMEA-DC-ONPREM-SRV-A-R03-PC-0105,power,connected,EMEA-DC-ONPREM-LEAF-A01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R03-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-A01 PSU1 to EMEA-DC-ONPREM-SRV-A-R03-PDU-A
EMEA-DC-ONPREM-SRV-A-R03-PC-0106,power,connected,EMEA-DC-ONPREM-LEAF-A01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R03-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-A01 PSU2 to EMEA-DC-ONPREM-SRV-A-R03-PDU-B
EMEA-DC-ONPREM-SRV-A-R04-PC-0107,power,connected,EMEA-DC-ONPREM-LEAF-A02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R04-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-A02 PSU1 to EMEA-DC-ONPREM-SRV-A-R04-PDU-A
EMEA-DC-ONPREM-SRV-A-R04-PC-0108,power,connected,EMEA-DC-ONPREM-LEAF-A02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R04-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-A02 PSU2 to EMEA-DC-ONPREM-SRV-A-R04-PDU-B
EMEA-DC-ONPREM-SRV-A-R05-PC-0109,power,connected,EMEA-DC-ONPREM-ESX-A01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R05-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A01 PSU1 to EMEA-DC-ONPREM-SRV-A-R05-PDU-A
EMEA-DC-ONPREM-SRV-A-R05-PC-0110,power,connected,EMEA-DC-ONPREM-ESX-A01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R05-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A01 PSU2 to EMEA-DC-ONPREM-SRV-A-R05-PDU-B
EMEA-DC-ONPREM-SRV-A-R06-PC-0111,power,connected,EMEA-DC-ONPREM-ESX-A02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R06-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A02 PSU1 to EMEA-DC-ONPREM-SRV-A-R06-PDU-A
EMEA-DC-ONPREM-SRV-A-R06-PC-0112,power,connected,EMEA-DC-ONPREM-ESX-A02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R06-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-A02 PSU2 to EMEA-DC-ONPREM-SRV-A-R06-PDU-B
EMEA-DC-ONPREM-SRV-A-R01-PC-0113,power,connected,EMEA-DC-ONPREM-ESX-A03,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R01-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A03 PSU1 to EMEA-DC-ONPREM-SRV-A-R01-PDU-A
EMEA-DC-ONPREM-SRV-A-R01-PC-0114,power,connected,EMEA-DC-ONPREM-ESX-A03,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R01-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A03 PSU2 to EMEA-DC-ONPREM-SRV-A-R01-PDU-B
EMEA-DC-ONPREM-SRV-A-R02-PC-0115,power,connected,EMEA-DC-ONPREM-ESX-A04,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R02-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A04 PSU1 to EMEA-DC-ONPREM-SRV-A-R02-PDU-A
EMEA-DC-ONPREM-SRV-A-R02-PC-0116,power,connected,EMEA-DC-ONPREM-ESX-A04,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R02-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A04 PSU2 to EMEA-DC-ONPREM-SRV-A-R02-PDU-B
EMEA-DC-ONPREM-SRV-A-R03-PC-0117,power,connected,EMEA-DC-ONPREM-ESX-A05,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R03-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A05 PSU1 to EMEA-DC-ONPREM-SRV-A-R03-PDU-A
EMEA-DC-ONPREM-SRV-A-R03-PC-0118,power,connected,EMEA-DC-ONPREM-ESX-A05,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R03-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A05 PSU2 to EMEA-DC-ONPREM-SRV-A-R03-PDU-B
