label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,description
EMEA-DC-ONPREM-NET-R01-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-A to EMEA-DC-ONPREM-NET-R01-PDU-A Power-In
EMEA-DC-ONPREM-NET-R01-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-B to EMEA-DC-ONPREM-NET-R01-PDU-B Power-In
EMEA-DC-ONPREM-NET-R02-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-A to EMEA-DC-ONPREM-NET-R02-PDU-A Power-In
EMEA-DC-ONPREM-NET-R02-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-B to EMEA-DC-ONPREM-NET-R02-PDU-B Power-In
EMEA-DC-ONPREM-NET-R03-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-A to EMEA-DC-ONPREM-NET-R03-PDU-A Power-In
EMEA-DC-ONPREM-NET-R03-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-B to EMEA-DC-ONPREM-NET-R03-PDU-B Power-In
EMEA-DC-ONPREM-NET-R04-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-A to EMEA-DC-ONPREM-NET-R04-PDU-A Power-In
EMEA-DC-ONPREM-NET-R04-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-NET-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Network-Core-FEED-B to EMEA-DC-ONPREM-NET-R04-PDU-B Power-In
EMEA-DC-ONPREM-SRV-A-R01-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R01-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R01-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R01-PDU-B Power-In
