device,name,type,power_port,feed_leg,description
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-01,iec-60320-c13,,A,Power outlet 1
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-02,iec-60320-c13,,A,Power outlet 2
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-03,iec-60320-c13,,A,Power outlet 3
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-04,iec-60320-c13,,A,Power outlet 4
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-05,iec-60320-c13,,A,Power outlet 5
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-06,iec-60320-c13,,A,Power outlet 6
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-07,iec-60320-c13,,A,Power outlet 7
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-08,iec-60320-c13,,A,Power outlet 8
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-09,iec-60320-c13,,A,Power outlet 9
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-10,iec-60320-c13,,A,Power outlet 10
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-11,iec-60320-c13,,A,Power outlet 11
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-12,iec-60320-c13,,A,Power outlet 12
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-13,iec-60320-c13,,B,Power outlet 13
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-14,iec-60320-c13,,B,Power outlet 14
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-15,iec-60320-c13,,B,Power outlet 15
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-16,iec-60320-c13,,B,Power outlet 16
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-17,iec-60320-c13,,B,Power outlet 17
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-18,iec-60320-c13,,B,Power outlet 18
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-19,iec-60320-c13,,B,Power outlet 19
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-20,iec-60320-c13,,B,Power outlet 20
EMEA-DC-ONPREM-NET-R01-PDU-A,Outlet-21,iec-60320-c13,,B,Power outlet 21
