name,slug,site,status,description
EMEA-DC-ONPREM-Network Core,emea-dc-onprem-network-core,EMEA-DC-ONPREM,active,Core network equipment room
EMEA-DC-ONPREM-Server Hall A,emea-dc-onprem-server-hall-a,EMEA-DC-ONPREM,active,Primary server hall
EMEA-DC-ONPREM-Server Hall B,emea-dc-onprem-server-hall-b,EMEA-DC-ONPREM,active,Secondary server hall
EMEA-DC-ONPREM-Storage Room,emea-dc-onprem-storage-room,EMEA-DC-ONPREM,active,Storage systems room
EMEA-DC-ONPREM-Meet-Me Room,emea-dc-onprem-meet-me-room,EMEA-DC-ONPREM,active,Carrier interconnection room
APAC-DC-ONPREM-Network Core,apac-dc-onprem-network-core,APAC-DC-ONPREM,active,Core network equipment room
APAC-DC-ONPREM-Server Hall A,apac-dc-onprem-server-hall-a,APAC-DC-ONPREM,active,Primary server hall
APAC-DC-ONPREM-Server Hall B,apac-dc-onprem-server-hall-b,APAC-DC-ONPREM,active,Secondary server hall
APAC-DC-ONPREM-Storage Room,apac-dc-onprem-storage-room,APAC-DC-ONPREM,active,Storage systems room
APAC-DC-ONPREM-Meet-Me Room,apac-dc-onprem-meet-me-room,APAC-DC-ONPREM,active,Carrier interconnection room
AMER-DC-ONPREM-Network Core,amer-dc-onprem-network-core,AMER-DC-ONPREM,active,Core network equipment room
AMER-DC-ONPREM-Server Hall A,amer-dc-onprem-server-hall-a,AMER-DC-ONPREM,active,Primary server hall
AMER-DC-ONPREM-Server Hall B,amer-dc-onprem-server-hall-b,AMER-DC-ONPREM,active,Secondary server hall
AMER-DC-ONPREM-Storage Room,amer-dc-onprem-storage-room,AMER-DC-ONPREM,active,Storage systems room
AMER-DC-ONPREM-Meet-Me Room,amer-dc-onprem-meet-me-room,AMER-DC-ONPREM,active,Carrier interconnection room
