name,slug,site,status,description
CN-Agency1-MDF1,cn-agency1-mdf1,CN-Agency1,active,Main Distribution Frame 1 - China
CN-Agency1-MDF2,cn-agency1-mdf2,CN-Agency1,active,Main Distribution Frame 2 - China
JP-Agency1-MDF1,jp-agency1-mdf1,JP-Agency1,active,Main Distribution Frame 1 - Japan
JP-Agency1-MDF2,jp-agency1-mdf2,JP-Agency1,active,Main Distribution Frame 2 - Japan
KR-Agency1-MDF1,kr-agency1-mdf1,KR-Agency1,active,Main Distribution Frame 1 - South Korea
KR-Agency1-MDF2,kr-agency1-mdf2,KR-Agency1,active,Main Distribution Frame 2 - South Korea
SG-Agency1-MDF1,sg-agency1-mdf1,SG-Agency1,active,Main Distribution Frame 1 - Singapore
SG-Agency1-MDF2,sg-agency1-mdf2,SG-Agency1,active,Main Distribution Frame 2 - Singapore
AU-Agency1-MDF1,au-agency1-mdf1,AU-Agency1,active,Main Distribution Frame 1 - Australia
AU-Agency1-MDF2,au-agency1-mdf2,AU-Agency1,active,Main Distribution Frame 2 - Australia
