name,slug,site,status,description
FR-Agency1-MDF1,fr-agency1-mdf1,FR-Agency1,active,Main Distribution Frame 1 - France
FR-Agency1-MDF2,fr-agency1-mdf2,FR-Agency1,active,Main Distribution Frame 2 - France
DE-Agency1-MDF1,de-agency1-mdf1,DE-Agency1,active,Main Distribution Frame 1 - Germany
DE-Agency1-MDF2,de-agency1-mdf2,DE-Agency1,active,Main Distribution Frame 2 - Germany
GB-Agency1-MDF1,gb-agency1-mdf1,GB-Agency1,active,Main Distribution Frame 1 - United Kingdom
GB-Agency1-MDF2,gb-agency1-mdf2,GB-Agency1,active,Main Distribution Frame 2 - United Kingdom
NL-Agency1-MDF1,nl-agency1-mdf1,NL-Agency1,active,Main Distribution Frame 1 - Netherlands
NL-Agency1-MDF2,nl-agency1-mdf2,NL-Agency1,active,Main Distribution Frame 2 - Netherlands
BE-Agency1-MDF1,be-agency1-mdf1,BE-Agency1,active,Main Distribution Frame 1 - Belgium
BE-Agency1-MDF2,be-agency1-mdf2,BE-Agency1,active,Main Distribution Frame 2 - Belgium
