name,site,location,status,rack_type,description
US-Agency1-MDF1-R01,US-Agency1,US-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - US-Agency1-MDF1
US-Agency1-MDF1-R02,US-Agency1,US-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - US-Agency1-MDF1
US-Agency1-MDF2-R01,US-Agency1,US-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - US-Agency1-MDF2
US-Agency1-MDF2-R02,US-Agency1,US-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - US-Agency1-MDF2
CA-Agency1-MDF1-R01,CA-Agency1,CA-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - CA-Agency1-MDF1
CA-Agency1-MDF1-R02,CA-Agency1,CA-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - CA-Agency1-MDF1
CA-Agency1-MDF2-R01,CA-Agency1,CA-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - CA-Agency1-MDF2
CA-Agency1-MDF2-R02,CA-Agency1,CA-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - CA-Agency1-MDF2
MX-Agency1-MDF1-R01,MX-Agency1,MX-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - MX-Agency1-MDF1
MX-Agency1-MDF1-R02,MX-Agency1,MX-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - MX-Agency1-MDF1
MX-Agency1-MDF2-R01,MX-Agency1,MX-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - MX-Agency1-MDF2
MX-Agency1-MDF2-R02,MX-Agency1,MX-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - MX-Agency1-MDF2
BR-Agency1-MDF1-R01,BR-Agency1,BR-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - BR-Agency1-MDF1
BR-Agency1-MDF1-R02,BR-Agency1,BR-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - BR-Agency1-MDF1
BR-Agency1-MDF2-R01,BR-Agency1,BR-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - BR-Agency1-MDF2
BR-Agency1-MDF2-R02,BR-Agency1,BR-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - BR-Agency1-MDF2
AR-Agency1-MDF1-R01,AR-Agency1,AR-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - AR-Agency1-MDF1
AR-Agency1-MDF1-R02,AR-Agency1,AR-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - AR-Agency1-MDF1
AR-Agency1-MDF2-R01,AR-Agency1,AR-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - AR-Agency1-MDF2
AR-Agency1-MDF2-R02,AR-Agency1,AR-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - AR-Agency1-MDF2
