name,site,location,status,rack_type,description
CN-Agency1-MDF1-R01,CN-Agency1,CN-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - CN-Agency1-MDF1
CN-Agency1-MDF1-R02,CN-Agency1,CN-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - CN-Agency1-MDF1
CN-Agency1-MDF2-R01,CN-Agency1,CN-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - CN-Agency1-MDF2
CN-Agency1-MDF2-R02,CN-Agency1,CN-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - CN-Agency1-MDF2
JP-Agency1-MDF1-R01,JP-Agency1,JP-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - JP-Agency1-MDF1
JP-Agency1-MDF1-R02,JP-Agency1,JP-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - JP-Agency1-MDF1
JP-Agency1-MDF2-R01,JP-Agency1,JP-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - JP-Agency1-MDF2
JP-Agency1-MDF2-R02,JP-Agency1,JP-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - JP-Agency1-MDF2
KR-Agency1-MDF1-R01,KR-Agency1,KR-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - KR-Agency1-MDF1
KR-Agency1-MDF1-R02,KR-Agency1,KR-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - KR-Agency1-MDF1
KR-Agency1-MDF2-R01,KR-Agency1,KR-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - KR-Agency1-MDF2
KR-Agency1-MDF2-R02,KR-Agency1,KR-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - KR-Agency1-MDF2
SG-Agency1-MDF1-R01,SG-Agency1,SG-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - SG-Agency1-MDF1
SG-Agency1-MDF1-R02,SG-Agency1,SG-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - SG-Agency1-MDF1
SG-Agency1-MDF2-R01,SG-Agency1,SG-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - SG-Agency1-MDF2
SG-Agency1-MDF2-R02,SG-Agency1,SG-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - SG-Agency1-MDF2
AU-Agency1-MDF1-R01,AU-Agency1,AU-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - AU-Agency1-MDF1
AU-Agency1-MDF1-R02,AU-Agency1,AU-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - AU-Agency1-MDF1
AU-Agency1-MDF2-R01,AU-Agency1,AU-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - AU-Agency1-MDF2
AU-Agency1-MDF2-R02,AU-Agency1,AU-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - AU-Agency1-MDF2
