name,site,location,status,rack_type,description
FR-Agency1-MDF1-R01,FR-Agency1,FR-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - FR-Agency1-MDF1
FR-Agency1-MDF1-R02,FR-Agency1,FR-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - FR-Agency1-MDF1
FR-Agency1-MDF2-R01,FR-Agency1,FR-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - FR-Agency1-MDF2
FR-Agency1-MDF2-R02,FR-Agency1,FR-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - FR-Agency1-MDF2
DE-Agency1-MDF1-R01,DE-Agency1,DE-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - DE-Agency1-MDF1
DE-Agency1-MDF1-R02,DE-Agency1,DE-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - DE-Agency1-MDF1
DE-Agency1-MDF2-R01,DE-Agency1,DE-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - DE-Agency1-MDF2
DE-Agency1-MDF2-R02,DE-Agency1,DE-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - DE-Agency1-MDF2
GB-Agency1-MDF1-R01,GB-Agency1,GB-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - GB-Agency1-MDF1
GB-Agency1-MDF1-R02,GB-Agency1,GB-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - GB-Agency1-MDF1
GB-Agency1-MDF2-R01,GB-Agency1,GB-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - GB-Agency1-MDF2
GB-Agency1-MDF2-R02,GB-Agency1,GB-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - GB-Agency1-MDF2
NL-Agency1-MDF1-R01,NL-Agency1,NL-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - NL-Agency1-MDF1
NL-Agency1-MDF1-R02,NL-Agency1,NL-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - NL-Agency1-MDF1
NL-Agency1-MDF2-R01,NL-Agency1,NL-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - NL-Agency1-MDF2
NL-Agency1-MDF2-R02,NL-Agency1,NL-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - NL-Agency1-MDF2
BE-Agency1-MDF1-R01,BE-Agency1,BE-Agency1-MDF1,active,Standard 42U Rack,42U Main Rack - BE-Agency1-MDF1
BE-Agency1-MDF1-R02,BE-Agency1,BE-Agency1-MDF1,active,Standard 22U Rack,22U Secondary Rack - BE-Agency1-MDF1
BE-Agency1-MDF2-R01,BE-Agency1,BE-Agency1-MDF2,active,Standard 42U Rack,42U Main Rack - BE-Agency1-MDF2
BE-Agency1-MDF2-R02,BE-Agency1,BE-Agency1-MDF2,active,Standard 22U Rack,22U Secondary Rack - BE-Agency1-MDF2
