name,slug,status,region,description,tags
CN-Agency1,cn-agency1,active,China,Agency 1 - CN - People's Republic of China,"apac,china,agency"
CN-Agency2,cn-agency2,active,China,Agency 2 - CN - People's Republic of China,"apac,china,agency"
JP-Agency1,jp-agency1,active,Japan,Agency 1 - JP - Japan,"apac,japan,agency"
JP-Agency2,jp-agency2,active,Japan,Agency 2 - JP - Japan,"apac,japan,agency"
KR-Agency1,kr-agency1,active,South Korea,Agency 1 - KR - Republic of Korea,"apac,south-korea,agency"
KR-Agency2,kr-agency2,active,South Korea,Agency 2 - KR - Republic of Korea,"apac,south-korea,agency"
TW-Agency1,tw-agency1,active,Taiwan,Agency 1 - TW - Taiwan,"apac,taiwan,agency"
TW-Agency2,tw-agency2,active,Taiwan,Agency 2 - TW - Taiwan,"apac,taiwan,agency"
HK-Agency1,hk-agency1,active,Hong Kong,Agency 1 - HK - Hong Kong SAR,"apac,hong-kong,agency"
HK-Agency2,hk-agency2,active,Hong Kong,Agency 2 - HK - Hong Kong SAR,"apac,hong-kong,agency"
MO-Agency1,mo-agency1,active,Macau,Agency 1 - MO - Macau SAR,"apac,macau,agency"
MO-Agency2,mo-agency2,active,Macau,Agency 2 - MO - Macau SAR,"apac,macau,agency"
MN-Agency1,mn-agency1,active,Mongolia,Agency 1 - MN - Mongolia,"apac,mongolia,agency"
MN-Agency2,mn-agency2,active,Mongolia,Agency 2 - MN - Mongolia,"apac,mongolia,agency"
SG-Agency1,sg-agency1,active,Singapore,Agency 1 - SG - Republic of Singapore,"apac,singapore,agency"
SG-Agency2,sg-agency2,active,Singapore,Agency 2 - SG - Republic of Singapore,"apac,singapore,agency"
MY-Agency1,my-agency1,active,Malaysia,Agency 1 - MY - Malaysia,"apac,malaysia,agency"
MY-Agency2,my-agency2,active,Malaysia,Agency 2 - MY - Malaysia,"apac,malaysia,agency"
TH-Agency1,th-agency1,active,Thailand,Agency 1 - TH - Kingdom of Thailand,"apac,thailand,agency"
TH-Agency2,th-agency2,active,Thailand,Agency 2 - TH - Kingdom of Thailand,"apac,thailand,agency"
ID-Agency1,id-agency1,active,Indonesia,Agency 1 - ID - Republic of Indonesia,"apac,indonesia,agency"
ID-Agency2,id-agency2,active,Indonesia,Agency 2 - ID - Republic of Indonesia,"apac,indonesia,agency"
VN-Agency1,vn-agency1,active,Vietnam,Agency 1 - VN - Socialist Republic of Vietnam,"apac,vietnam,agency"
