name,slug,status,region,description,tags
FR-Agency1,fr-agency1,active,France,Agency 1 - FR - French Republic,"emea,france,agency"
FR-Agency2,fr-agency2,active,France,Agency 2 - FR - French Republic,"emea,france,agency"
DE-Agency1,de-agency1,active,Germany,Agency 1 - DE - Federal Republic of Germany,"emea,germany,agency"
DE-Agency2,de-agency2,active,Germany,Agency 2 - DE - Federal Republic of Germany,"emea,germany,agency"
GB-Agency1,gb-agency1,active,United Kingdom,Agency 1 - GB - United Kingdom,"emea,united-kingdom,agency"
GB-Agency2,gb-agency2,active,United Kingdom,Agency 2 - GB - United Kingdom,"emea,united-kingdom,agency"
NL-Agency1,nl-agency1,active,Netherlands,Agency 1 - NL - Kingdom of the Netherlands,"emea,netherlands,agency"
NL-Agency2,nl-agency2,active,Netherlands,Agency 2 - NL - Kingdom of the Netherlands,"emea,netherlands,agency"
BE-Agency1,be-agency1,active,Belgium,Agency 1 - BE - Kingdom of Belgium,"emea,belgium,agency"
BE-Agency2,be-agency2,active,Belgium,Agency 2 - BE - Kingdom of Belgium,"emea,belgium,agency"
LU-Agency1,lu-agency1,active,Luxembourg,Agency 1 - LU - Grand Duchy of Luxembourg,"emea,luxembourg,agency"
LU-Agency2,lu-agency2,active,Luxembourg,Agency 2 - LU - Grand Duchy of Luxembourg,"emea,luxembourg,agency"
CH-Agency1,ch-agency1,active,Switzerland,Agency 1 - CH - Swiss Confederation,"emea,switzerland,agency"
CH-Agency2,ch-agency2,active,Switzerland,Agency 2 - CH - Swiss Confederation,"emea,switzerland,agency"
AT-Agency1,at-agency1,active,Austria,Agency 1 - AT - Republic of Austria,"emea,austria,agency"
AT-Agency2,at-agency2,active,Austria,Agency 2 - AT - Republic of Austria,"emea,austria,agency"
IE-Agency1,ie-agency1,active,Ireland,Agency 1 - IE - Republic of Ireland,"emea,ireland,agency"
IE-Agency2,ie-agency2,active,Ireland,Agency 2 - IE - Republic of Ireland,"emea,ireland,agency"
MC-Agency1,mc-agency1,active,Monaco,Agency 1 - MC - Principality of Monaco,"emea,monaco,agency"
MC-Agency2,mc-agency2,active,Monaco,Agency 2 - MC - Principality of Monaco,"emea,monaco,agency"
ES-Agency1,es-agency1,active,Spain,Agency 1 - ES - Kingdom of Spain,"emea,spain,agency"
ES-Agency2,es-agency2,active,Spain,Agency 2 - ES - Kingdom of Spain,"emea,spain,agency"
PT-Agency1,pt-agency1,active,Portugal,Agency 1 - PT - Portuguese Republic,"emea,portugal,agency"
PT-Agency2,pt-agency2,active,Portugal,Agency 2 - PT - Portuguese Republic,"emea,portugal,agency"
IT-Agency1,it-agency1,active,Italy,Agency 1 - IT - Italian Republic,"emea,italy,agency"
IT-Agency2,it-agency2,active,Italy,Agency 2 - IT - Italian Republic,"emea,italy,agency"
GR-Agency1,gr-agency1,active,Greece,Agency 1 - GR - Hellenic Republic,"emea,greece,agency"
GR-Agency2,gr-agency2,active,Greece,Agency 2 - GR - Hellenic Republic,"emea,greece,agency"
MT-Agency1,mt-agency1,active,Malta,Agency 1 - MT - Republic of Malta,"emea,malta,agency"
MT-Agency2,mt-agency2,active,Malta,Agency 2 - MT - Republic of Malta,"emea,malta,agency"
CY-Agency1,cy-agency1,active,Cyprus,Agency 1 - CY - Republic of Cyprus,"emea,cyprus,agency"
CY-Agency2,cy-agency2,active,Cyprus,Agency 2 - CY - Republic of Cyprus,"emea,cyprus,agency"
AD-Agency1,ad-agency1,active,Andorra,Agency 1 - AD - Principality of Andorra,"emea,andorra,agency"
AD-Agency2,ad-agency2,active,Andorra,Agency 2 - AD - Principality of Andorra,"emea,andorra,agency"
SM-Agency1,sm-agency1,active,San Marino,Agency 1 - SM - Republic of San Marino,"emea,san-marino,agency"
SM-Agency2,sm-agency2,active,San Marino,Agency 2 - SM - Republic of San Marino,"emea,san-marino,agency"
SE-Agency1,se-agency1,active,Sweden,Agency 1 - SE - Kingdom of Sweden,"emea,sweden,agency"
SE-Agency2,se-agency2,active,Sweden,Agency 2 - SE - Kingdom of Sweden,"emea,sweden,agency"
NO-Agency1,no-agency1,active,Norway,Agency 1 - NO - Kingdom of Norway,"emea,norway,agency"
NO-Agency2,no-agency2,active,Norway,Agency 2 - NO - Kingdom of Norway,"emea,norway,agency"
DK-Agency1,dk-agency1,active,Denmark,Agency 1 - DK - Kingdom of Denmark,"emea,denmark,agency"
DK-Agency2,dk-agency2,active,Denmark,Agency 2 - DK - Kingdom of Denmark,"emea,denmark,agency"
FI-Agency1,fi-agency1,active,Finland,Agency 1 - FI - Republic of Finland,"emea,finland,agency"
FI-Agency2,fi-agency2,active,Finland,Agency 2 - FI - Republic of Finland,"emea,finland,agency"
IS-Agency1,is-agency1,active,Iceland,Agency 1 - IS - Republic of Iceland,"emea,iceland,agency"
IS-Agency2,is-agency2,active,Iceland,Agency 2 - IS - Republic of Iceland,"emea,iceland,agency"
PL-Agency1,pl-agency1,active,Poland,Agency 1 - PL - Republic of Poland,"emea,poland,agency"
PL-Agency2,pl-agency2,active,Poland,Agency 2 - PL - Republic of Poland,"emea,poland,agency"
CZ-Agency1,cz-agency1,active,Czech Republic,Agency 1 - CZ - Czech Republic,"emea,czech-republic,agency"
CZ-Agency2,cz-agency2,active,Czech Republic,Agency 2 - CZ - Czech Republic,"emea,czech-republic,agency"
HU-Agency1,hu-agency1,active,Hungary,Agency 1 - HU - Hungary,"emea,hungary,agency"
HU-Agency2,hu-agency2,active,Hungary,Agency 2 - HU - Hungary,"emea,hungary,agency"
RO-Agency1,ro-agency1,active,Romania,Agency 1 - RO - Romania,"emea,romania,agency"
RO-Agency2,ro-agency2,active,Romania,Agency 2 - RO - Romania,"emea,romania,agency"
BG-Agency1,bg-agency1,active,Bulgaria,Agency 1 - BG - Republic of Bulgaria,"emea,bulgaria,agency"
BG-Agency2,bg-agency2,active,Bulgaria,Agency 2 - BG - Republic of Bulgaria,"emea,bulgaria,agency"
SK-Agency1,sk-agency1,active,Slovakia,Agency 1 - SK - Slovak Republic,"emea,slovakia,agency"
SK-Agency2,sk-agency2,active,Slovakia,Agency 2 - SK - Slovak Republic,"emea,slovakia,agency"
SI-Agency1,si-agency1,active,Slovenia,Agency 1 - SI - Republic of Slovenia,"emea,slovenia,agency"
SI-Agency2,si-agency2,active,Slovenia,Agency 2 - SI - Republic of Slovenia,"emea,slovenia,agency"
HR-Agency1,hr-agency1,active,Croatia,Agency 1 - HR - Republic of Croatia,"emea,croatia,agency"
HR-Agency2,hr-agency2,active,Croatia,Agency 2 - HR - Republic of Croatia,"emea,croatia,agency"
RS-Agency1,rs-agency1,active,Serbia,Agency 1 - RS - Republic of Serbia,"emea,serbia,agency"
RS-Agency2,rs-agency2,active,Serbia,Agency 2 - RS - Republic of Serbia,"emea,serbia,agency"
UA-Agency1,ua-agency1,active,Ukraine,Agency 1 - UA - Ukraine,"emea,ukraine,agency"
UA-Agency2,ua-agency2,active,Ukraine,Agency 2 - UA - Ukraine,"emea,ukraine,agency"
LT-Agency1,lt-agency1,active,Lithuania,Agency 1 - LT - Republic of Lithuania,"emea,lithuania,agency"
LT-Agency2,lt-agency2,active,Lithuania,Agency 2 - LT - Republic of Lithuania,"emea,lithuania,agency"
LV-Agency1,lv-agency1,active,Latvia,Agency 1 - LV - Republic of Latvia,"emea,latvia,agency"
LV-Agency2,lv-agency2,active,Latvia,Agency 2 - LV - Republic of Latvia,"emea,latvia,agency"
EE-Agency1,ee-agency1,active,Estonia,Agency 1 - EE - Republic of Estonia,"emea,estonia,agency"
EE-Agency2,ee-agency2,active,Estonia,Agency 2 - EE - Republic of Estonia,"emea,estonia,agency"
AE-Agency1,ae-agency1,active,United Arab Emirates,Agency 1 - AE - United Arab Emirates,"emea,united-arab-emirates,agency"
AE-Agency2,ae-agency2,active,United Arab Emirates,Agency 2 - AE - United Arab Emirates,"emea,united-arab-emirates,agency"
SA-Agency1,sa-agency1,active,Saudi Arabia,Agency 1 - SA - Kingdom of Saudi Arabia,"emea,saudi-arabia,agency"
SA-Agency2,sa-agency2,active,Saudi Arabia,Agency 2 - SA - Kingdom of Saudi Arabia,"emea,saudi-arabia,agency"
QA-Agency1,qa-agency1,active,Qatar,Agency 1 - QA - State of Qatar,"emea,qatar,agency"
QA-Agency2,qa-agency2,active,Qatar,Agency 2 - QA - State of Qatar,"emea,qatar,agency"
KW-Agency1,kw-agency1,active,Kuwait,Agency 1 - KW - State of Kuwait,"emea,kuwait,agency"
KW-Agency2,kw-agency2,active,Kuwait,Agency 2 - KW - State of Kuwait,"emea,kuwait,agency"
BH-Agency1,bh-agency1,active,Bahrain,Agency 1 - BH - Kingdom of Bahrain,"emea,bahrain,agency"
BH-Agency2,bh-agency2,active,Bahrain,Agency 2 - BH - Kingdom of Bahrain,"emea,bahrain,agency"
OM-Agency1,om-agency1,active,Oman,Agency 1 - OM - Sultanate of Oman,"emea,oman,agency"
OM-Agency2,om-agency2,active,Oman,Agency 2 - OM - Sultanate of Oman,"emea,oman,agency"
IL-Agency1,il-agency1,active,Israel,Agency 1 - IL - State of Israel,"emea,israel,agency"
IL-Agency2,il-agency2,active,Israel,Agency 2 - IL - State of Israel,"emea,israel,agency"
JO-Agency1,jo-agency1,active,Jordan,Agency 1 - JO - Hashemite Kingdom of Jordan,"emea,jordan,agency"
JO-Agency2,jo-agency2,active,Jordan,Agency 2 - JO - Hashemite Kingdom of Jordan,"emea,jordan,agency"
LB-Agency1,lb-agency1,active,Lebanon,Agency 1 - LB - Lebanese Republic,"emea,lebanon,agency"
LB-Agency2,lb-agency2,active,Lebanon,Agency 2 - LB - Lebanese Republic,"emea,lebanon,agency"
TR-Agency1,tr-agency1,active,Turkey,Agency 1 - TR - Republic of Turkey,"emea,turkey,agency"
TR-Agency2,tr-agency2,active,Turkey,Agency 2 - TR - Republic of Turkey,"emea,turkey,agency"
ZA-Agency1,za-agency1,active,South Africa,Agency 1 - ZA - Republic of South Africa,"emea,south-africa,agency"
ZA-Agency2,za-agency2,active,South Africa,Agency 2 - ZA - Republic of South Africa,"emea,south-africa,agency"
EG-Agency1,eg-agency1,active,Egypt,Agency 1 - EG - Arab Republic of Egypt,"emea,egypt,agency"
EG-Agency2,eg-agency2,active,Egypt,Agency 2 - EG - Arab Republic of Egypt,"emea,egypt,agency"
MA-Agency1,ma-agency1,active,Morocco,Agency 1 - MA - Kingdom of Morocco,"emea,morocco,agency"
MA-Agency2,ma-agency2,active,Morocco,Agency 2 - MA - Kingdom of Morocco,"emea,morocco,agency"
NG-Agency1,ng-agency1,active,Nigeria,Agency 1 - NG - Federal Republic of Nigeria,"emea,nigeria,agency"
NG-Agency2,ng-agency2,active,Nigeria,Agency 2 - NG - Federal Republic of Nigeria,"emea,nigeria,agency"
KE-Agency1,ke-agency1,active,Kenya,Agency 1 - KE - Republic of Kenya,"emea,kenya,agency"
KE-Agency2,ke-agency2,active,Kenya,Agency 2 - KE - Republic of Kenya,"emea,kenya,agency"
GH-Agency1,gh-agency1,active,Ghana,Agency 1 - GH - Republic of Ghana,"emea,ghana,agency"
GH-Agency2,gh-agency2,active,Ghana,Agency 2 - GH - Republic of Ghana,"emea,ghana,agency"
TN-Agency1,tn-agency1,active,Tunisia,Agency 1 - TN - Republic of Tunisia,"emea,tunisia,agency"
TN-Agency2,tn-agency2,active,Tunisia,Agency 2 - TN - Republic of Tunisia,"emea,tunisia,agency"
SN-Agency1,sn-agency1,active,Senegal,Agency 1 - SN - Republic of Senegal,"emea,senegal,agency"
SN-Agency2,sn-agency2,active,Senegal,Agency 2 - SN - Republic of Senegal,"emea,senegal,agency"
CI-Agency1,ci-agency1,active,Ivory Coast,Agency 1 - CI - Republic of Côte d'Ivoire,"emea,ivory-coast,agency"
CI-Agency2,ci-agency2,active,Ivory Coast,Agency 2 - CI - Republic of Côte d'Ivoire,"emea,ivory-coast,agency"
MU-Agency1,mu-agency1,active,Mauritius,Agency 1 - MU - Republic of Mauritius,"emea,mauritius,agency"
MU-Agency2,mu-agency2,active,Mauritius,Agency 2 - MU - Republic of Mauritius,"emea,mauritius,agency"
