name,manufacturer,device_type,role,site,location,rack,position,face,status,cluster,description
EMEA-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R05,1,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R06,3,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,5,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,7,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,9,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,11,front,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
EMEA-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R05,1,front,active,EMEA-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
EMEA-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R06,3,front,active,EMEA-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
EMEA-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,5,front,active,EMEA-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
EMEA-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,7,front,active,EMEA-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
