name,status,cluster,role,device,vcpus,memory,disk,description,comments
EMEA-vCenter-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,vCenter Server,,8,32768,500,vCenter Server for EMEA region,VMware vCenter Server 8.0
EMEA-NSX-Manager-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,NSX Manager,,6,24576,300,NSX Manager Node 1,NSX-T 4.0 Manager Node 1
EMEA-NSX-Manager-02,active,EMEA-DC-ONPREM-MGMT-CLUSTER,NSX Manager,,6,24576,300,NSX Manager Node 2,NSX-T 4.0 Manager Node 2
EMEA-NSX-Manager-03,active,EMEA-DC-ONPREM-MGMT-CLUSTER,NSX Manager,,6,24576,300,NSX Manager Node 3,NSX-T 4.0 Manager Node 3
EMEA-vROps-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,Monitoring,,8,32768,500,vRealize Operations Manager,vROps 8.10
EMEA-vRLI-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,Logging,,8,16384,500,vRealize Log Insight,Log aggregation and analytics
EMEA-Backup-Server-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,Backup,,4,16384,1000,Veeam Backup Server,Backup & Replication
EMEA-Jump-Host-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,Jump Host,,2,8192,100,Windows Jump Host,Administrative access server
EMEA-Ansible-Tower-01,active,EMEA-DC-ONPREM-MGMT-CLUSTER,Automation,,4,16384,200,AWX/Ansible Tower,Automation and orchestration
EMEA-Web-App-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Web Server,,4,8192,100,NGINX Web Server 1,Production web tier
EMEA-Web-App-02,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Web Server,,4,8192,100,NGINX Web Server 2,Production web tier
EMEA-Web-App-03,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Web Server,,4,8192,100,NGINX Web Server 3,Production web tier
EMEA-App-Server-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Application Server,,8,16384,200,Java Application Server 1,Tomcat application tier
EMEA-App-Server-02,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Application Server,,8,16384,200,Java Application Server 2,Tomcat application tier
EMEA-App-Server-03,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Application Server,,8,16384,200,Java Application Server 3,Tomcat application tier
EMEA-DB-Server-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Database Server,,16,65536,1000,PostgreSQL Primary,Production database primary
EMEA-DB-Server-02,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Database Server,,16,65536,1000,PostgreSQL Standby,Production database standby
EMEA-Redis-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Cache Server,,4,16384,100,Redis Cache Node 1,In-memory cache cluster
EMEA-Redis-02,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Cache Server,,4,16384,100,Redis Cache Node 2,In-memory cache cluster
EMEA-Kafka-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Message Broker,,8,32768,500,Kafka Broker 1,Event streaming platform
EMEA-Kafka-02,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Message Broker,,8,32768,500,Kafka Broker 2,Event streaming platform
EMEA-ELK-ES-01,active,EMEA-DC-ONPREM-COMPUTE-CLUSTER,Search Engine,,8,32768,1000,Elasticsearch Node 1,Log search and analytics
