side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,status,label,description
EMEA-DC-ONPREM-ESX-A01,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/1,cat6,connected,ESX-A01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A02,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/2,cat6,connected,ESX-A02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A03,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/3,cat6,connected,ESX-A03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/29,dac-active,connected,ESX-A03-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/29,dac-active,connected,ESX-A03-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/30,dac-active,connected,ESX-A03-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/30,dac-active,connected,ESX-A03-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A04,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/4,cat6,connected,ESX-A04-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/31,dac-active,connected,ESX-A04-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/31,dac-active,connected,ESX-A04-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/32,dac-active,connected,ESX-A04-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/32,dac-active,connected,ESX-A04-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,iLO,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/5,cat6,connected,ESX-A05-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/33,dac-active,connected,ESX-A05-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/33,dac-active,connected,ESX-A05-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/34,aoc,connected,ESX-A05-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/34,aoc,connected,ESX-A05-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,iLO,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1/6,cat6,connected,ESX-A06-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/35,dac-active,connected,ESX-A06-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/35,dac-active,connected,ESX-A06-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/36,aoc,connected,ESX-A06-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/36,aoc,connected,ESX-A06-NIC2P2,10G AOC to Spine A02
