prefix,status,vlan_site,vlan,scope_type,scope_id,description,is_pool
10.100.10.0/24,active,EMEA-DC-ONPREM,10,dcim.site,17,EMEA OOB Management Network - ESXi iDRAC/iLO/CIMC,False
10.100.20.0/24,reserved,EMEA-DC-ONPREM,20,dcim.site,17,EMEA ESXi Management Network - vmk0 interfaces,False
10.100.30.0/24,reserved,EMEA-DC-ONPREM,30,dcim.site,17,EMEA vMotion Network - vmk1 live migration (MTU 9000),False
10.100.40.0/24,reserved,EMEA-DC-ONPREM,40,dcim.site,17,EMEA vSAN Storage Network - vmk2 storage (MTU 9000),False
10.100.50.0/24,active,EMEA-DC-ONPREM,50,dcim.site,17,EMEA Infrastructure VMs - vCenter NSX vROps vRLI,False
10.100.60.0/24,active,EMEA-DC-ONPREM,60,dcim.site,17,EMEA Application VMs - Web App DB Cache servers,False
10.100.70.0/24,active,EMEA-DC-ONPREM,70,dcim.site,17,EMEA Backend/Data Network - Replication cluster (MTU 9000),False
10.100.80.0/24,active,EMEA-DC-ONPREM,80,dcim.site,17,EMEA Storage Network - NFS file server (MTU 9000),False
10.101.10.0/24,active,APAC-DC-ONPREM,10,dcim.site,19,APAC OOB Management Network - ESXi iDRAC/iLO/CIMC,False
10.101.20.0/24,reserved,APAC-DC-ONPREM,20,dcim.site,19,APAC ESXi Management Network - vmk0 interfaces,False
10.101.30.0/24,reserved,APAC-DC-ONPREM,30,dcim.site,19,APAC vMotion Network - vmk1 live migration (MTU 9000),False
10.101.40.0/24,reserved,APAC-DC-ONPREM,40,dcim.site,19,APAC vSAN Storage Network - vmk2 storage (MTU 9000),False
10.101.50.0/24,active,APAC-DC-ONPREM,50,dcim.site,19,APAC Infrastructure VMs - vCenter NSX vROps vRLI,False
10.101.60.0/24,active,APAC-DC-ONPREM,60,dcim.site,19,APAC Application VMs - Web App DB Cache servers,False
10.101.70.0/24,active,APAC-DC-ONPREM,70,dcim.site,19,APAC Backend/Data Network - Replication cluster (MTU 9000),False
10.101.80.0/24,active,APAC-DC-ONPREM,80,dcim.site,19,APAC Storage Network - NFS file server (MTU 9000),False
10.102.10.0/24,active,AMER-DC-ONPREM,10,dcim.site,21,AMER OOB Management Network - ESXi iDRAC/iLO/CIMC,False
10.102.20.0/24,reserved,AMER-DC-ONPREM,20,dcim.site,21,AMER ESXi Management Network - vmk0 interfaces,False
10.102.30.0/24,reserved,AMER-DC-ONPREM,30,dcim.site,21,AMER vMotion Network - vmk1 live migration (MTU 9000),False
10.102.40.0/24,reserved,AMER-DC-ONPREM,40,dcim.site,21,AMER vSAN Storage Network - vmk2 storage (MTU 9000),False
10.102.50.0/24,active,AMER-DC-ONPREM,50,dcim.site,21,AMER Infrastructure VMs - vCenter NSX vROps vRLI,False
10.102.60.0/24,active,AMER-DC-ONPREM,60,dcim.site,21,AMER Application VMs - Web App DB Cache servers,False
10.102.70.0/24,active,AMER-DC-ONPREM,70,dcim.site,21,AMER Backend/Data Network - Replication cluster (MTU 9000),False
10.102.80.0/24,active,AMER-DC-ONPREM,80,dcim.site,21,AMER Storage Network - NFS file server (MTU 9000),False
